"input" "reason" "matches" "symbol" "organism.shortName" "name" "length" "secondaryIdentifier" "primaryIdentifier" "class"
"YPL087W" "MATCH" "1" "YDC1" "S. cerevisiae" "Yeast DihydroCeramidase" "954" "YPL087W" "S000006008" "ORF"
"YCR037C" "MATCH" "1" "PHO87" "S. cerevisiae" "PHOsphate metabolism" "2772" "YCR037C" "S000000633" "ORF"
"YBR161W" "MATCH" "1" "CSH1" "S. cerevisiae" "CSG1/SUR1 Homolog" "1131" "YBR161W" "S000000365" "ORF"
"YCR036W" "MATCH" "1" "RBK1" "S. cerevisiae" "RiBoKinase" "1002" "YCR036W" "S000000632" "ORF"
"YBR294W" "MATCH" "1" "SUL1" "S. cerevisiae" "SULfate" "2580" "YBR294W" "S000000498" "ORF"
"YCR012W" "MATCH" "1" "PGK1" "S. cerevisiae" "3-PhosphoGlycerate Kinase" "1251" "YCR012W" "S000000605" "ORF"
"YAR071W" "MATCH" "1" "PHO11" "S. cerevisiae" "PHOsphate metabolism" "1404" "YAR071W" "S000000094" "ORF"
"YPL172C" "MATCH" "1" "COX10" "S. cerevisiae" "Cytochrome c OXidase" "1389" "YPL172C" "S000006093" "ORF"
"YPR074C" "MATCH" "1" "TKL1" "S. cerevisiae" "TransKetoLase" "2043" "YPR074C" "S000006278" "ORF"
"YDR305C" "MATCH" "1" "HNT2" "S. cerevisiae" "Histidine triad NucleoTide-binding" "743" "YDR305C" "S000002713" "ORF"
"YJR143C" "MATCH" "1" "PMT4" "S. cerevisiae" "Protein O-MannosylTransferase" "2289" "YJR143C" "S000003904" "ORF"
"YBL045C" "MATCH" "1" "COR1" "S. cerevisiae" "CORe protein of QH2 cytochrome c reductase" "1374" "YBL045C" "S000000141" "ORF"
"YLR307W" "MATCH" "1" "CDA1" "S. cerevisiae" "Chitin DeAcetylase" "906" "YLR307W" "S000004298" "ORF"
"YOR202W" "MATCH" "1" "HIS3" "S. cerevisiae" "HIStidine" "663" "YOR202W" "S000005728" "ORF"
"YMR020W" "MATCH" "1" "FMS1" "S. cerevisiae" "Fenpropimorph-resistance Multicopy Suppressor" "1527" "YMR020W" "S000004622" "ORF"
"YIL066C" "MATCH" "1" "RNR3" "S. cerevisiae" "RiboNucleotide Reductase" "2610" "YIL066C" "S000001328" "ORF"
"YER081W" "MATCH" "1" "SER3" "S. cerevisiae" "SERine requiring" "1410" "YER081W" "S000000883" "ORF"
"YBL068W" "MATCH" "1" "PRS4" "S. cerevisiae" "PhosphoRibosylpyrophosphate Synthetase" "981" "YBL068W" "S000000164" "ORF"
"YBR296C" "MATCH" "1" "PHO89" "S. cerevisiae" "PHOsphate metabolism" "1725" "YBR296C" "S000000500" "ORF"
"YOR311C" "MATCH" "1" "DGK1" "S. cerevisiae" "DiacylGlycerol Kinase" "873" "YOR311C" "S000005838" "ORF"
"YHR094C" "MATCH" "1" "HXT1" "S. cerevisiae" "HeXose Transporter" "1713" "YHR094C" "S000001136" "ORF"
"YGR138C" "MATCH" "1" "TPO2" "S. cerevisiae" "Transporter of POlyamines" "1845" "YGR138C" "S000003370" "ORF"
"YOR335C" "MATCH" "1" "ALA1" "S. cerevisiae" "ALAnyl-tRNA synthetase" "2877" "YOR335C" "S000005862" "ORF"
"YPL040C" "MATCH" "1" "ISM1" "S. cerevisiae" "Isoleucyl tRNA Synthetase of Mitochondria" "3009" "YPL040C" "S000005961" "ORF"
"YCL004W" "MATCH" "1" "PGS1" "S. cerevisiae" "PhosphatidylGlycerolphosphate Synthase" "1566" "YCL004W" "S000000510" "ORF"
"YIR031C" "MATCH" "1" "DAL7" "S. cerevisiae" "Degradation of Allantoin" "1665" "YIR031C" "S000001470" "ORF"
"YFR025C" "MATCH" "1" "HIS2" "S. cerevisiae" "HIStidine requiring" "1008" "YFR025C" "S000001921" "ORF"
"YGR110W" "MATCH" "1" "CLD1" "S. cerevisiae" "CardioLipin-specific Deacylase" "1338" "YGR110W" "S000003342" "ORF"
"YGR243W" "MATCH" "1" "MPC3" "S. cerevisiae" "Mitochondrial Pyruvate Carrier" "441" "YGR243W" "S000003475" "ORF"
"YPR184W" "MATCH" "1" "GDB1" "S. cerevisiae" "Glycogen DeBranching" "4611" "YPR184W" "S000006388" "ORF"
"YLL031C" "MATCH" "1" "GPI13" "S. cerevisiae" "GlycosylPhosphatidylInositol anchor biosynthesis" "3054" "YLL031C" "S000003954" "ORF"
"YPR160W" "MATCH" "1" "GPH1" "S. cerevisiae" "Glycogen PHosphorylase" "2709" "YPR160W" "S000006364" "ORF"
"YOR209C" "MATCH" "1" "NPT1" "S. cerevisiae" "Nicotinate PhosphoribosylTransferase" "1290" "YOR209C" "S000005735" "ORF"
"YBR252W" "MATCH" "1" "DUT1" "S. cerevisiae" "DUTp pyrophosphatase" "444" "YBR252W" "S000000456" "ORF"
"YCR034W" "MATCH" "1" "ELO2" "S. cerevisiae" "fatty acid ELOngation" "1044" "YCR034W" "S000000630" "ORF"
"YBR011C" "MATCH" "1" "IPP1" "S. cerevisiae" "Inorganic PyroPhosphatase" "864" "YBR011C" "S000000215" "ORF"
"YGR244C" "MATCH" "1" "LSC2" "S. cerevisiae" "Ligase of Succinyl-CoA" "1284" "YGR244C" "S000003476" "ORF"
"YER174C" "MATCH" "1" "GRX4" "S. cerevisiae" "GlutaRedoXin" "735" "YER174C" "S000000976" "ORF"
"YER065C" "MATCH" "1" "ICL1" "S. cerevisiae" "IsoCitrate Lyase" "1674" "YER065C" "S000000867" "ORF"
"YLR060W" "MATCH" "1" "FRS1" "S. cerevisiae" "phenylalanyl (F)-tRNA Synthetase" "1788" "YLR060W" "S000004050" "ORF"
"YBR035C" "MATCH" "1" "PDX3" "S. cerevisiae" "PyriDoXine auxotrophy" "687" "YBR035C" "S000000239" "ORF"
"YKR039W" "MATCH" "1" "GAP1" "S. cerevisiae" "General Amino acid Permease" "1809" "YKR039W" "S000001747" "ORF"
"YDR321W" "MATCH" "1" "ASP1" "S. cerevisiae" "ASParaginase" "1146" "YDR321W" "S000002729" "ORF"
"YFL011W" "MATCH" "1" "HXT10" "S. cerevisiae" "HeXose Transporter" "1641" "YFL011W" "S000001883" "ORF"
"YCR010C" "MATCH" "1" "ADY2" "S. cerevisiae" "Accumulation of DYads" "852" "YCR010C" "S000000603" "ORF"
"YDR127W" "MATCH" "1" "ARO1" "S. cerevisiae" "AROmatic amino acid requiring" "4767" "YDR127W" "S000002534" "ORF"
"YJL026W" "MATCH" "1" "RNR2" "S. cerevisiae" "RiboNucleotide Reductase" "1200" "YJL026W" "S000003563" "ORF"
"YEL058W" "MATCH" "1" "PCM1" "S. cerevisiae" "PhosphoaCetylglucosamine Mutase" "1674" "YEL058W" "S000000784" "ORF"
"YJR078W" "MATCH" "1" "BNA2" "S. cerevisiae" "Biosynthesis of Nicotinic Acid" "1362" "YJR078W" "S000003839" "ORF"
"YKL094W" "MATCH" "1" "YJU3" "S. cerevisiae" "" "942" "YKL094W" "S000001577" "ORF"
"YPR183W" "MATCH" "1" "DPM1" "S. cerevisiae" "Dolichol Phosphate Mannose synthase" "804" "YPR183W" "S000006387" "ORF"
"YOR317W" "MATCH" "1" "FAA1" "S. cerevisiae" "Fatty Acid Activation" "2103" "YOR317W" "S000005844" "ORF"
"YPL061W" "MATCH" "1" "ALD6" "S. cerevisiae" "ALdehyde Dehydrogenase" "1503" "YPL061W" "S000005982" "ORF"
"YDL182W" "MATCH" "1" "LYS20" "S. cerevisiae" "LYSine requiring" "1287" "YDL182W" "S000002341" "ORF"
"YJL134W" "MATCH" "1" "LCB3" "S. cerevisiae" "Long-Chain Base" "1230" "YJL134W" "S000003670" "ORF"
"YBR121C" "MATCH" "1" "GRS1" "S. cerevisiae" "Glycyl-tRNA Synthase" "2004" "YBR121C" "S000000325" "ORF"
"YML054C" "MATCH" "1" "CYB2" "S. cerevisiae" "CYtochrome B" "1776" "YML054C" "S000004518" "ORF"
"YDR019C" "MATCH" "1" "GCV1" "S. cerevisiae" "GlyCine cleaVage" "1203" "YDR019C" "S000002426" "ORF"
"YBR036C" "MATCH" "1" "CSG2" "S. cerevisiae" "Calcium Sensitive Growth" "1233" "YBR036C" "S000000240" "ORF"
"Q0275" "MATCH" "1" "COX3" "S. cerevisiae" "Cytochrome c OXidase" "810" "Q0275" "S000007283" "ORF"
"YBL042C" "MATCH" "1" "FUI1" "S. cerevisiae" "5-FlUorourIdine resistance" "1920" "YBL042C" "S000000138" "ORF"
"YMR289W" "MATCH" "1" "ABZ2" "S. cerevisiae" "para-AminoBenZoic acid (PABA) biosynthesis" "1125" "YMR289W" "S000004902" "ORF"
"YLL057C" "MATCH" "1" "JLP1" "S. cerevisiae" "dnaJ-Like Protein" "1239" "YLL057C" "S000003980" "ORF"
"YER086W" "MATCH" "1" "ILV1" "S. cerevisiae" "IsoLeucine-plus-Valine requiring" "1731" "YER086W" "S000000888" "ORF"
"YMR241W" "MATCH" "1" "YHM2" "S. cerevisiae" "Yeast suppressor of HM mutant" "945" "YMR241W" "S000004854" "ORF"
"YNL325C" "MATCH" "1" "FIG4" "S. cerevisiae" "Factor-Induced Gene" "2640" "YNL325C" "S000005269" "ORF"
"YIL172C" "MATCH" "1" "IMA3" "S. cerevisiae" "IsoMAltase" "1770" "YIL172C" "S000001434" "ORF"
"YOL086C" "MATCH" "1" "ADH1" "S. cerevisiae" "Alcohol DeHydrogenase" "1047" "YOL086C" "S000005446" "ORF"
"Q0045" "MATCH" "1" "COX1" "S. cerevisiae" "Cytochrome c OXidase" "12884" "Q0045" "S000007260" "ORF"
"YJL221C" "MATCH" "1" "IMA4" "S. cerevisiae" "IsoMAltase" "1770" "YJL221C" "S000003757" "ORF"
"YOL061W" "MATCH" "1" "PRS5" "S. cerevisiae" "PhosphoRibosylpyrophosphate Synthetase" "1491" "YOL061W" "S000005422" "ORF"
"YBR166C" "MATCH" "1" "TYR1" "S. cerevisiae" "TYRosine" "1359" "YBR166C" "S000000370" "ORF"
"YHR001W-A" "MATCH" "1" "QCR10" "S. cerevisiae" "ubiQuinol-cytochrome C oxidoReductase" "297" "YHR001W-A" "S000003529" "ORF"
"YIR032C" "MATCH" "1" "DAL3" "S. cerevisiae" "Degradation of Allantoin" "588" "YIR032C" "S000001471" "ORF"
"YGR157W" "MATCH" "1" "CHO2" "S. cerevisiae" "CHOline requiring" "2610" "YGR157W" "S000003389" "ORF"
"YNL106C" "MATCH" "1" "INP52" "S. cerevisiae" "INositol polyphosphate 5-Phosphatase" "3552" "YNL106C" "S000005050" "ORF"
"YBR299W" "MATCH" "1" "MAL32" "S. cerevisiae" "MALtose" "1755" "YBR299W" "S000000503" "ORF"
"YAL044C" "MATCH" "1" "GCV3" "S. cerevisiae" "GlyCine cleaVage" "513" "YAL044C" "S000000042" "ORF"
"YER170W" "MATCH" "1" "ADK2" "S. cerevisiae" "ADenylate Kinase" "678" "YER170W" "S000000972" "ORF"
"YDL095W" "MATCH" "1" "PMT1" "S. cerevisiae" "Protein O-MannosylTransferase" "2454" "YDL095W" "S000002253" "ORF"
"YDR300C" "MATCH" "1" "PRO1" "S. cerevisiae" "PROline requiring" "1287" "YDR300C" "S000002708" "ORF"
"YGR267C" "MATCH" "1" "FOL2" "S. cerevisiae" "FOLic acid synthesis" "732" "YGR267C" "S000003499" "ORF"
"YER062C" "MATCH" "1" "GPP2" "S. cerevisiae" "Glycerol-3-Phosphate Phosphatase" "753" "YER062C" "S000000864" "ORF"
"YJL137C" "MATCH" "1" "GLG2" "S. cerevisiae" "Glycogenin-Like Gene" "1143" "YJL137C" "S000003673" "ORF"
"YJR077C" "MATCH" "1" "MIR1" "S. cerevisiae" "Mitochondrial Import Receptor" "936" "YJR077C" "S000003838" "ORF"
"YML056C" "MATCH" "1" "IMD4" "S. cerevisiae" "IMP Dehydrogenase" "1983" "YML056C" "S000004520" "ORF"
"YLR089C" "MATCH" "1" "ALT1" "S. cerevisiae" "ALanine Transaminase" "1779" "YLR089C" "S000004079" "ORF"
"YMR267W" "MATCH" "1" "PPA2" "S. cerevisiae" "PyroPhosphatAse" "933" "YMR267W" "S000004880" "ORF"
"YFL030W" "MATCH" "1" "AGX1" "S. cerevisiae" "Alanine:Glyoxylate aminotrans(X)ferase" "1158" "YFL030W" "S000001864" "ORF"
"YKL182W" "MATCH" "1" "FAS1" "S. cerevisiae" "Fatty Acid Synthetase" "6156" "YKL182W" "S000001665" "ORF"
"YOR136W" "MATCH" "1" "IDH2" "S. cerevisiae" "Isocitrate DeHydrogenase" "1110" "YOR136W" "S000005662" "ORF"
"YNL169C" "MATCH" "1" "PSD1" "S. cerevisiae" "PhosphatidylSerine Decarboxylase" "1503" "YNL169C" "S000005113" "ORF"
"YHR007C" "MATCH" "1" "ERG11" "S. cerevisiae" "ERGosterol biosynthesis" "1593" "YHR007C" "S000001049" "ORF"
"YKR080W" "MATCH" "1" "MTD1" "S. cerevisiae" "Methylene Tetrahydrafolate Dehydrogenase" "963" "YKR080W" "S000001788" "ORF"
"YDL185W" "MATCH" "1" "VMA1" "S. cerevisiae" "Vacuolar Membrane Atpase" "3216" "YDL185W" "S000002344" "ORF"
"YPL134C" "MATCH" "1" "ODC1" "S. cerevisiae" "OxoDicarboxylate Carrier" "933" "YPL134C" "S000006055" "ORF"
"YOR377W" "MATCH" "1" "ATF1" "S. cerevisiae" "AcetylTransFerase" "1578" "YOR377W" "S000005904" "ORF"
"YGR240C" "MATCH" "1" "PFK1" "S. cerevisiae" "PhosphoFructoKinase" "2964" "YGR240C" "S000003472" "ORF"
"YML075C" "MATCH" "1" "HMG1" "S. cerevisiae" "3-Hydroxy-3-MethylGlutaryl-coenzyme a reductase" "3165" "YML075C" "S000004540" "ORF"
"YOR245C" "MATCH" "1" "DGA1" "S. cerevisiae" "DiacylGlycerol Acyltransferase" "1257" "YOR245C" "S000005771" "ORF"
"YGR264C" "MATCH" "1" "MES1" "S. cerevisiae" "MEthionyl-tRNA Synthetase" "2256" "YGR264C" "S000003496" "ORF"
"YOR221C" "MATCH" "1" "MCT1" "S. cerevisiae" "Malonyl-CoA:ACP Transferase" "1083" "YOR221C" "S000005747" "ORF"
"YGL256W" "MATCH" "1" "ADH4" "S. cerevisiae" "Alcohol DeHydrogenase" "1149" "YGL256W" "S000003225" "ORF"
"YPL110C" "MATCH" "1" "GDE1" "S. cerevisiae" "GlycerophosphoDiEsterase" "3672" "YPL110C" "S000006031" "ORF"
"YDR529C" "MATCH" "1" "QCR7" "S. cerevisiae" "ubiQuinol-cytochrome C oxidoReductase" "384" "YDR529C" "S000002937" "ORF"
"YLR284C" "MATCH" "1" "ECI1" "S. cerevisiae" "Enoyl-CoA Isomerase" "843" "YLR284C" "S000004274" "ORF"
"YEL039C" "MATCH" "1" "CYC7" "S. cerevisiae" "CYtochrome C" "342" "YEL039C" "S000000765" "ORF"
"YFL055W" "MATCH" "1" "AGP3" "S. cerevisiae" "high-Affinity Glutamine Permease" "1677" "YFL055W" "S000001839" "ORF"
"YJR019C" "MATCH" "1" "TES1" "S. cerevisiae" "ThioESterase" "1050" "YJR019C" "S000003780" "ORF"
"YGR155W" "MATCH" "1" "CYS4" "S. cerevisiae" "CYStathionine beta-synthase" "1524" "YGR155W" "S000003387" "ORF"
"YDL078C" "MATCH" "1" "MDH3" "S. cerevisiae" "Malate DeHydrogenase" "1032" "YDL078C" "S000002236" "ORF"
"YEL038W" "MATCH" "1" "UTR4" "S. cerevisiae" "Unidentified TRanscript" "684" "YEL038W" "S000000764" "ORF"
"YPL268W" "MATCH" "1" "PLC1" "S. cerevisiae" "PhosphoLipase C" "2610" "YPL268W" "S000006189" "ORF"
"YNR041C" "MATCH" "1" "COQ2" "S. cerevisiae" "COenzyme Q" "1119" "YNR041C" "S000005324" "ORF"
"YJR103W" "MATCH" "1" "URA8" "S. cerevisiae" "URAcil requiring" "1737" "YJR103W" "S000003864" "ORF"
"YMR220W" "MATCH" "1" "ERG8" "S. cerevisiae" "ERGosterol biosynthesis" "1356" "YMR220W" "S000004833" "ORF"
"YPL111W" "MATCH" "1" "CAR1" "S. cerevisiae" "Catabolism of ARginine" "1002" "YPL111W" "S000006032" "ORF"
"YBR180W" "MATCH" "1" "DTR1" "S. cerevisiae" "DiTyRosine" "1719" "YBR180W" "S000000384" "ORF"
"YPL244C" "MATCH" "1" "HUT1" "S. cerevisiae" "Homolog of UDP-galactose Transporter" "1020" "YPL244C" "S000006165" "ORF"
"YOR025W" "MATCH" "1" "HST3" "S. cerevisiae" "Homolog of SIR Two (SIR2)" "1344" "YOR025W" "S000005551" "ORF"
"YNL277W" "MATCH" "1" "MET2" "S. cerevisiae" "METhionine requiring" "1461" "YNL277W" "S000005221" "ORF"
"YGR289C" "MATCH" "1" "MAL11" "S. cerevisiae" "MALtose fermentation" "1851" "YGR289C" "S000003521" "ORF"
"YDR191W" "MATCH" "1" "HST4" "S. cerevisiae" "Homolog of SIR Two (SIR2)" "1113" "YDR191W" "S000002599" "ORF"
"YLR174W" "MATCH" "1" "IDP2" "S. cerevisiae" "Isocitrate Dehydrogenase, NADP-specific" "1239" "YLR174W" "S000004164" "ORF"
"YLL012W" "MATCH" "1" "YEH1" "S. cerevisiae" "Yeast steryl Ester Hydrolase" "1722" "YLL012W" "S000003935" "ORF"
"YJL091C" "MATCH" "1" "GWT1" "S. cerevisiae" "GPI-anchored Wall protein Transfer" "1473" "YJL091C" "S000003627" "ORF"
"YIL111W" "MATCH" "1" "COX5B" "S. cerevisiae" "Cytochrome c OXidase" "544" "YIL111W" "S000001373" "ORF"
"YLR172C" "MATCH" "1" "DPH5" "S. cerevisiae" "DiPHthamide" "903" "YLR172C" "S000004162" "ORF"
"YBR092C" "MATCH" "1" "PHO3" "S. cerevisiae" "PHOsphate metabolism" "1404" "YBR092C" "S000000296" "ORF"
"YPL265W" "MATCH" "1" "DIP5" "S. cerevisiae" "DIcarboxylic amino acid Permease" "1827" "YPL265W" "S000006186" "ORF"
"YCR105W" "MATCH" "1" "ADH7" "S. cerevisiae" "Alcohol DeHydrogenase" "1086" "YCR105W" "S000000702" "ORF"
"YER060W-A" "MATCH" "1" "FCY22" "S. cerevisiae" "FluoroCYtosine resistance" "1593" "YER060W-A" "S000002958" "ORF"
"YPL023C" "MATCH" "1" "MET12" "S. cerevisiae" "METhionine requiring" "1974" "YPL023C" "S000005944" "ORF"
"YGR020C" "MATCH" "1" "VMA7" "S. cerevisiae" "Vacuolar Membrane Atpase" "357" "YGR020C" "S000003252" "ORF"
"YGL037C" "MATCH" "1" "PNC1" "S. cerevisiae" "Pyrazinamidase and NiCotinamidase" "651" "YGL037C" "S000003005" "ORF"
"YER152C" "MATCH" "1" "" "S. cerevisiae" "" "1332" "YER152C" "S000000954" "ORF"
"YER043C" "MATCH" "1" "SAH1" "S. cerevisiae" "S-Adenosyl-l-Homocysteine hydrolase" "1350" "YER043C" "S000000845" "ORF"
"YGR286C" "MATCH" "1" "BIO2" "S. cerevisiae" "BIOtin" "1128" "YGR286C" "S000003518" "ORF"
"YGR177C" "MATCH" "1" "ATF2" "S. cerevisiae" "AcetylTransFerase" "1608" "YGR177C" "S000003409" "ORF"
"YNR043W" "MATCH" "1" "MVD1" "S. cerevisiae" "MeValonate pyrophosphate Decarboxylase" "1191" "YNR043W" "S000005326" "ORF"
"YGL012W" "MATCH" "1" "ERG4" "S. cerevisiae" "ERGosterol biosynthesis" "1422" "YGL012W" "S000002980" "ORF"
"YIL134W" "MATCH" "1" "FLX1" "S. cerevisiae" "FLavin eXchange" "936" "YIL134W" "S000001396" "ORF"
"YBR093C" "MATCH" "1" "PHO5" "S. cerevisiae" "PHOsphate metabolism" "1404" "YBR093C" "S000000297" "ORF"
"YMR113W" "MATCH" "1" "FOL3" "S. cerevisiae" "FOLic acid synthesis" "1284" "YMR113W" "S000004719" "ORF"
"YNL141W" "MATCH" "1" "AAH1" "S. cerevisiae" "Adenine AminoHydrolase" "1044" "YNL141W" "S000005085" "ORF"
"YEL017C-A" "MATCH" "1" "PMP2" "S. cerevisiae" "Plasma Membrane Proteolipid" "132" "YEL017C-A" "S000002103" "ORF"
"YFL053W" "MATCH" "1" "DAK2" "S. cerevisiae" "DihydroxyAcetone Kinase" "1776" "YFL053W" "S000001841" "ORF"
"YKL181W" "MATCH" "1" "PRS1" "S. cerevisiae" "PhosphoRibosylpyrophosphate Synthetase" "1284" "YKL181W" "S000001664" "ORF"
"YMR246W" "MATCH" "1" "FAA4" "S. cerevisiae" "Fatty Acid Activation" "2085" "YMR246W" "S000004860" "ORF"
"YIL002C" "MATCH" "1" "INP51" "S. cerevisiae" "INositol polyphosphate 5-Phosphatase" "2841" "YIL002C" "S000001264" "ORF"
"YDL052C" "MATCH" "1" "SLC1" "S. cerevisiae" "SphingoLipid Compensation" "912" "YDL052C" "S000002210" "ORF"
"YOR241W" "MATCH" "1" "MET7" "S. cerevisiae" "METhionine requiring" "1647" "YOR241W" "S000005767" "ORF"
"YNR067C" "MATCH" "1" "DSE4" "S. cerevisiae" "Daughter Specific Expression" "3354" "YNR067C" "S000005350" "ORF"
"YNL142W" "MATCH" "1" "MEP2" "S. cerevisiae" "" "1500" "YNL142W" "S000005086" "ORF"
"YOR374W" "MATCH" "1" "ALD4" "S. cerevisiae" "ALdehyde Dehydrogenase" "1560" "YOR374W" "S000005901" "ORF"
"YER175C" "MATCH" "1" "TMT1" "S. cerevisiae" "Trans-aconitate MethylTransferase" "900" "YER175C" "S000000977" "ORF"
"YOR375C" "MATCH" "1" "GDH1" "S. cerevisiae" "Glutamate DeHydrogenase" "1365" "YOR375C" "S000005902" "ORF"
"YGR287C" "MATCH" "1" "IMA1" "S. cerevisiae" "IsoMAltase" "1770" "YGR287C" "S000003519" "ORF"
"YGL253W" "MATCH" "1" "HXK2" "S. cerevisiae" "HeXoKinase" "1461" "YGL253W" "S000003222" "ORF"
"YMR006C" "MATCH" "1" "PLB2" "S. cerevisiae" "PhosphoLipase B" "2121" "YMR006C" "S000004608" "ORF"
"YJR016C" "MATCH" "1" "ILV3" "S. cerevisiae" "IsoLeucine-plus-Valine requiring" "1758" "YJR016C" "S000003777" "ORF"
"YHR026W" "MATCH" "1" "VMA16" "S. cerevisiae" "Vacuolar Membrane Atpase" "642" "YHR026W" "S000001068" "ORF"
"YER024W" "MATCH" "1" "YAT2" "S. cerevisiae" "" "2772" "YER024W" "S000000826" "ORF"
"YJR148W" "MATCH" "1" "BAT2" "S. cerevisiae" "Branched-chain Amino acid Transaminase" "1131" "YJR148W" "S000003909" "ORF"
"YHR002W" "MATCH" "1" "LEU5" "S. cerevisiae" "LEUcine biosynthesis" "1074" "YHR002W" "S000001044" "ORF"
"YDL142C" "MATCH" "1" "CRD1" "S. cerevisiae" "CaRDiolipin synthase" "852" "YDL142C" "S000002301" "ORF"
"YDL141W" "MATCH" "1" "BPL1" "S. cerevisiae" "Biotin:apoProtein Ligase" "2073" "YDL141W" "S000002300" "ORF"
"YBR183W" "MATCH" "1" "YPC1" "S. cerevisiae" "Yeast Phyto-Ceramidase" "951" "YBR183W" "S000000387" "ORF"
"YML070W" "MATCH" "1" "DAK1" "S. cerevisiae" "DihydroxyAcetone Kinase" "1755" "YML070W" "S000004535" "ORF"
"YGR175C" "MATCH" "1" "ERG1" "S. cerevisiae" "ERGosterol biosynthesis" "1491" "YGR175C" "S000003407" "ORF"
"YNL101W" "MATCH" "1" "AVT4" "S. cerevisiae" "Amino acid Vacuolar Transport" "2142" "YNL101W" "S000005045" "ORF"
