Gene [Systematic Name];Gene [Standard Name];ORF Qualifier;Gene Description;Mutant Type;Phenotypes > Observable;Qualifier;Strain Background;Chemical;Drain Info;Carbon source;Medium;Special Condition (remove_genes);Special Condition (remove_metab);Special Condition (add_metab);Condition;Details;PubMed ID;Culture type;PATHWAY;PATHWAY [subclass]
YBL076C;ILS1;Verified;IsoLeucine-tRNA Synthetase;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Aminoacyl-tRNA biosynthesis;Translation
YBL082C;ALG3;Verified;Asparagine Linked Glycosylation;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Lipid-linked oligosaccharide biosynthesis;Lipid metabolism
YBL098W;BNA4;Verified;Biosynthesis of Nicotinic Acid;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Phenylalanine, tyrosine and tryptophan biosynthesis;Amino acid metabolism
YBL099W;ATP1;Verified;ATP synthase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Oxidative phosphorylation;Energy metabolism
YBR001C;NTH2;Verified;Neutral TreHalase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Other sugars metabolism;Carbohydrate metabolism
YBR002C;RER2;Verified;Retention in the Endoplasmic Reticulum;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Terpenoid backbone biosynthesis;Metabolism of terpenoids and polyketides
YBR003W;COQ1;Verified;COenzyme Q;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Ubiquinone metabolism;Metabolism of cofactors and vitamins
YBR004C;GPI18;Verified;GlycosylPhosphatidylInositol;null;Inviable;none;S288C;;;glucose;YPD;;;;;;15623507+12140549;Undefined;GPI-anchor biosynthesis;Glycan biosynthesis and metabolism
YBR011C;IPP1;Verified;Inorganic PyroPhosphatase;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Oxidative phosphorylation;Energy metabolism
YBR018C;GAL7;Verified;GALactose metabolism;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Galactose metabolism;Carbohydrate metabolism
YBR019C;GAL10;Verified;GALactose metabolism;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Galactose metabolism;Carbohydrate metabolism
YBR020W;GAL1;Verified;GALactose metabolism;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Galactose metabolism;Carbohydrate metabolism
YBR021W;FUR4;Verified;5-FlUoRouridine sensitivity;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YBR023C;CHS3;Verified;CHitin Synthase-related;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Other sugars metabolism;Carbohydrate metabolism
YBR026C;ETR1;Verified;2-Enoyl Thioester Reductase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Fatty acid metabolism;Lipid metabolism
YBR029C;CDS1;Verified;CDP-Diacylglycerol Synthase;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glycerophospholipid metabolism;Lipid metabolism
YBR034C;HMT1;Verified;HnRNP MethylTransferase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Histidine metabolism;Amino acid metabolism
YBR035C;PDX3;Verified;PyriDoXine auxotrophy;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Vitamin B6 metabolism;Metabolism of cofactors and vitamins
YBR036C;CSG2;Verified;Calcium Sensitive Growth;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Sphingolipid metabolism;Lipid metabolism
YBR038W;CHS2;Verified;CHitin Synthase;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Other sugars metabolism;Carbohydrate metabolism
YBR039W;ATP3;Verified;ATP synthase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Oxidative phosphorylation;Energy metabolism
YBR041W;FAT1;Verified;FATty acid transporter;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Fatty acid metabolism;Lipid metabolism
YBR042C;CST26;Verified;Chromosome STability;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glycerophospholipid metabolism;Lipid metabolism
YBR058C-A;TSC3;Verified;Temperature-sensitive Suppressors of Csg2 mutants;null;Viable;none;S288C;;;glucose;YPD;;;;;;16510898;Undefined;Sphingolipid metabolism;Lipid metabolism
YBR068C;BAP2;Verified;Branched-chain Amino acid Permease;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YBR069C;TAT1;Verified;Tyrosine and tryptophan Amino acid Transporter;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YBR070C;ALG14;Verified;Asparagine Linked Glycosylation;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Lipid-linked oligosaccharide biosynthesis;Lipid metabolism
YBR084W;MIS1;Verified;MItochondrial C1-tetrahydrofolate Synthase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Folate metabolism;Metabolism of cofactors and vitamins
YBR085W;AAC3;Verified;ADP/ATP Carrier;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YBR092C;PHO3;Verified;PHOsphate metabolism;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Thiamine metabolism;Metabolism of cofactors and vitamins
YBR093C;PHO5;Verified;PHOsphate metabolism;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Other;Other
YBR097W;VPS15;Verified;Vacuolar Protein Sorting;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Fatty acid metabolism;Lipid metabolism
YBR104W;YMC2;Verified;Yeast Mitochondrial Carrier;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YBR110W;ALG1;Verified;Asparagine-Linked Glycosylation;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glycan biosynthesis;Glycan biosynthesis and metabolism
YBR111C;YSA1;Verified;Undefined;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Purine metabolism;Nucleotide metabolism
YBR115C;LYS2;Verified;LYSine requiring;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Lysine biosynthesis;Amino acid metabolism
YBR117C;TKL2;Verified;TransKetoLase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Pentose phosphate pathway;Carbohydrate metabolism
YBR121C;GRS1;Verified;Glycyl-tRNA Synthase;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Aminoacyl-tRNA biosynthesis;Translation
YBR126C;TPS1;Verified;Trehalose-6-Phosphate Synthase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Other sugars metabolism;Carbohydrate metabolism
YBR127C;VMA2;Verified;Vacuolar Membrane Atpase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Oxidative phosphorylation;Energy metabolism
YBR132C;AGP2;Verified;high-Affinity Glutamine Permease;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YBR145W;ADH5;Verified;Alcohol DeHydrogenase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glycolysis / Gluconeogenesis;Carbohydrate metabolism
YBR149W;ARA1;Verified;D-ARAbinose dehydrogenase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Other sugars metabolism;Carbohydrate metabolism
YBR153W;RIB7;Verified;RIBoflavin biosynthesis;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Riboflavin, FMN and FAD metabolism;Metabolism of cofactors and vitamins
YBR159W;IFA38;Verified;Undefined;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Fatty acid metabolism;Lipid metabolism
YBR161W;CSH1;Verified;CSG1/SUR1 Homolog;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Sphingolipid metabolism;Lipid metabolism
YBR166C;TYR1;Verified;TYRosine;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Phenylalanine, tyrosine and tryptophan biosynthesis;Amino acid metabolism
YBR176W;ECM31;Verified;ExtraCellular Mutant;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Pantothenate and CoA biosynthesis;Metabolism of cofactors and vitamins
YBR180W;DTR1;Verified;DiTyRosine;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YBR183W;YPC1;Verified;Yeast Phyto-Ceramidase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Sphingolipid metabolism;Lipid metabolism
YBR184W;Undefined;Uncharacterized;Undefined;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Galactose metabolism;Carbohydrate metabolism
YBR192W;RIM2;Verified;Replication In Mitochondria;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YBR196C;PGI1;Verified;PhosphoGlucoIsomerase;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glycolysis / Gluconeogenesis;Carbohydrate metabolism
YBR199W;KTR4;Verified;Kre Two Related;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glycan biosynthesis;Glycan biosynthesis and metabolism
YBR204C;LDH1;Verified;Lipid Droplet Hydrolase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glycerophospholipid metabolism;Lipid metabolism
YBR205W;KTR3;Verified;Kre Two Related;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glycan biosynthesis;Glycan biosynthesis and metabolism
YBR208C;DUR1,2;Verified;Degradation of URea;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Nitrogen metabolism;Energy metabolism
YBR213W;MET8;Verified;METhionine requiring;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Porphyrin and chlorophyll metabolism;Metabolism of cofactors and vitamins
YBR218C;PYC2;Verified;PYruvate Carboxylase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Pyruvate metabolism;Carbohydrate metabolism
YBR221C;PDB1;Verified;Pyruvate Dehydrogenase Beta subunit;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glycolysis / Gluconeogenesis;Carbohydrate metabolism
YBR243C;ALG7;Verified;Asparagine-Linked Glycosylation;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Lipid-linked oligosaccharide biosynthesis;Lipid metabolism
YBR244W;GPX2;Verified;Glutathione PeroXidase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glutathione metabolism;Metabolism of other amino acids
YBR248C;HIS7;Verified;HIStidine requiring;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Histidine metabolism;Amino acid metabolism
YBR249C;ARO4;Verified;AROmatic amino acid requiring;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Phenylalanine, tyrosine and tryptophan biosynthesis;Amino acid metabolism
YBR252W;DUT1;Verified;DUTp pyrophosphatase;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Pyrimidine metabolism;Nucleotide metabolism
YBR256C;RIB5;Verified;RIBoflavin biosynthesis;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Riboflavin, FMN and FAD metabolism;Metabolism of cofactors and vitamins
YBR263W;SHM1;Verified;Serine HydroxyMethyltransferase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Folate metabolism;Metabolism of cofactors and vitamins
YBR265W;TSC10;Verified;Temperature-sensitive Suppressors of Csg2 mutants;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Sphingolipid metabolism;Lipid metabolism
YBR284W;Undefined;Uncharacterized;Undefined;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Nucleotide salvage metabolism;Nucleotide metabolism
YBR291C;CTP1;Verified;Citrate Transport Protein;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YBR293W;VBA2;Verified;Vacuolar Basic Amino acid transporter;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YBR294W;SUL1;Verified;SULfate;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YBR296C;PHO89;Verified;PHOsphate metabolism;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YBR298C;MAL31;Verified;MALtose fermentation;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YCL004W;PGS1;Verified;PhosphatidylGlycerolphosphate Synthase;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glycerophospholipid metabolism;Lipid metabolism
YCL009C;ILV6;Verified;IsoLeucine Valine;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Valine, leucine and isoleucine metabolism;Amino acid metabolism
YCL025C;AGP1;Verified;high-Affinity Glutamine Permease;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YCL030C;HIS4;Verified;HIStidine requiring;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Histidine metabolism;Amino acid metabolism
YCL035C;GRX1;Verified;GlutaRedoXin;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glutathione metabolism;Metabolism of other amino acids
YCL038C;ATG22;Verified;AuTophaGy related;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YCL040W;GLK1;Verified;GLucoKinase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glycolysis / Gluconeogenesis;Carbohydrate metabolism
YCL050C;APA1;Verified;AP4A phosphorylase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Purine metabolism;Nucleotide metabolism
YCL052C;PBN1;Verified;Protease B Non-derepressible;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;GPI-anchor biosynthesis;Glycan biosynthesis and metabolism
YCL054W;SPB1;Verified;Suppressor of PaB1 mutant;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Histidine metabolism;Amino acid metabolism
YCL064C;CHA1;Verified;Catabolism of Hydroxy Amino acids;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glycine, serine and threonine metabolism;Amino acid metabolism
YCL069W;VBA3;Verified;Vacuolar Basic Amino acid transporter;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YCR005C;CIT2;Verified;CITrate synthase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;TCA cycle;Carbohydrate metabolism
YCR010C;ADY2;Verified;Accumulation of DYads;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YCR012W;PGK1;Verified;3-PhosphoGlycerate Kinase;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glycolysis / Gluconeogenesis;Carbohydrate metabolism
YCR020C-A;MAK31;Verified;MAintenance of Killer;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Other;Other
YCR024C;SLM5;Verified;Synthetic Lethal with Mss4;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Aminoacyl-tRNA biosynthesis;Translation
YCR024C-A;PMP1;Verified;Plasma Membrane Proteolipid;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Oxidative phosphorylation;Energy metabolism
YCR028C;FEN2;Verified;FENpropimorph resistance;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YCR032W;BPH1;Verified;Beige Protein Homolog;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YCR034W;ELO2;Verified;fatty acid ELOngation;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Fatty acid metabolism;Lipid metabolism
