Gene [Systematic Name];Gene [Standard Name];ORF Qualifier;Gene Description;Mutant Type;Phenotypes > Observable;Qualifier;Strain Background;Chemical;Drain Info;Carbon source;Medium;Special Condition (remove_genes);Special Condition (remove_metab);Special Condition (add_metab);Condition;Details;PubMed ID;Culture type
YBR126C;TPS1;Verified;Trehalose-6-Phosphate Synthase;null;Chemical compound accumulation;increased;S288C(BY4743);glycogen;no drain;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, glycerol;;;12096123;
YBR132C;AGP2;Verified;high-Affinity Glutamine Permease;null;Chemical compound accumulation;increased;S288C (BY4741);sulfur;no drain (not present in Y7, create drain in iMM904);glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W;;histidine, leucine, methionine, uracil;;;23151179;
YBR149W;ARA1;Verified;D-ARAbinose dehydrogenase;null;Chemical compound accumulation;normal;S288C;dehydro-D-arabinono-1,4-lactone;no drain;glucose;YPD;;;;;no affect on the concentration of intracellular dehydro-D-arabinono-1,4-lactone upon addition of D-arabinose;17097644;
YBR204C;LDH1;Verified;Lipid Droplet Hydrolase;null;Chemical compound accumulation;increased;S288C;phosphatidylcholine;no drain;oleate;YNBD;;glucose;;cells grown on media containing oleic acid as the sole carbon source;excess accumulation of polar lipids;21478434;
YBR208C;DUR1,2;Verified;Degradation of URea;null;Chemical compound accumulation;increased;S288C (BY4742);ornithine;;glucose;YPD;YOR202W, YCL018W, YEL021W, YBR115C;;histidine, leucine, uracil, lysine;;;20610602;
YBR221C;PDB1;Verified;Pyruvate Dehydrogenase Beta subunit;null;Chemical compound accumulation;decreased;S288C(BY4743);glycogen;no drain;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, glycerol;;;12096123;
YBR248C;HIS7;Verified;HIStidine requiring;null;Chemical compound accumulation;increased;S288C(BY4743);glycogen;no drain;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, glycerol;;;12096123;
YBR249C;ARO4;Verified;AROmatic amino acid requiring;null;Chemical compound accumulation;increased;S288C(BY4743);glycogen;no drain;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, glycerol;;;12096123;
YBR263W;SHM1;Verified;Serine HydroxyMethyltransferase;null;Chemical compound accumulation;decreased;S288C;glycine;;glucose;YPD;;;;;glycine content reduced by 50%;26821380;
YBR291C;CTP1;Verified;Citrate Transport Protein;null;Chemical compound accumulation;increased;S288C(BY4743);glycogen;no drain;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, glycerol;;;12096123;
YBR296C;PHO89;Verified;PHOsphate metabolism;null;Chemical compound accumulation;increased;S288C(BY4743);glycogen;no drain;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, glycerol;;;12096123;
YBR298C;MAL31;Verified;MALtose fermentation;null;Chemical compound accumulation;increased;S288C(BY4743);glycogen;no drain;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, glycerol;;;12096123;
YCL004W;PGS1;Verified;PhosphatidylGlycerolphosphate Synthase;null;Chemical compound accumulation;decreased;S288C;cardiolipin;no drain (mit);glucose;YPD;;;;;decreased mitochondrial accumulation of cardiolipin;23042293;
YCL004W;PGS1;Verified;PhosphatidylGlycerolphosphate Synthase;null;Chemical compound accumulation;increased;S288C;CDP-diacylglycerol;no drain (mit);glucose;YPD;;;;;increased mitochondrial accumulation of CDP-diacylglycerol;23042293;
YCL004W;PGS1;Verified;PhosphatidylGlycerolphosphate Synthase;null;Chemical compound accumulation;increased;S288C;phosphatidylinositol;drain in iMM904;glucose;YPD;;;;;increased mitochondrial accumulation of phosphatidylinositol;23042293;
YCL025C;AGP1;Verified;high-Affinity Glutamine Permease;null;Chemical compound accumulation;increased;S288C(BY4743);glycogen;no drain;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, asparagine;;;16418483;
YCR024C;SLM5;Verified;Synthetic Lethal with Mss4;null;Chemical compound accumulation;decreased;S288C(BY4743);glycogen;no drain;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, glycerol;;;12096123;
YCR024C;SLM5;Verified;Synthetic Lethal with Mss4;null;Chemical compound accumulation;increased;S288C;H+;;glucose;YNBD;;riboflavin, ammonium, folic acid, uracil;adenine, glutamate, alanine, arginine, asparagine, aspartate, cysteine, glutamine, histidine, isoleucine, leucine, lysine, methionine, phenylalanine, proline, serine, threonine, tryptophan, tyrosine, valine;external pH 3.0;;23021432;
YCR024C;SLM5;Verified;Synthetic Lethal with Mss4;null;Chemical compound accumulation;increased;S288C;H+;;glucose;YNBD;;riboflavin, ammonium, folic acid, uracil;adenine, glutamate, alanine, arginine, asparagine, aspartate, cysteine, glutamine, histidine, isoleucine, leucine, lysine, methionine, phenylalanine, proline, serine, threonine, tryptophan, tyrosine, valine;external pH 5.0;;23021432;
YCR024C;SLM5;Verified;Synthetic Lethal with Mss4;null;Chemical compound accumulation;increased;S288C;H+;;glucose;YNBD;;riboflavin, ammonium, folic acid, uracil;adenine, glutamate, alanine, arginine, asparagine, aspartate, cysteine, glutamine, histidine, isoleucine, leucine, lysine, methionine, phenylalanine, proline, serine, threonine, tryptophan, tyrosine, valine;external pH 7.5;;23021432;
YCR024C;SLM5;Verified;Synthetic Lethal with Mss4;null;Chemical compound accumulation;decreased;S288C (BY4741);potassium;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W;;histidine, leucine, methionine, uracil;;;23151179;
YCR028C;FEN2;Verified;FENpropimorph resistance;null;Chemical compound accumulation;increased;S288C(BY4743);glycogen;no drain;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, glycerol;;;12096123;
YCR028C;FEN2;Verified;FENpropimorph resistance;null;Chemical compound accumulation;decreased;S288C;H+;;glucose;YNBD;;riboflavin, ammonium, folic acid, uracil;adenine, glutamate, alanine, arginine, asparagine, aspartate, cysteine, glutamine, histidine, isoleucine, leucine, lysine, methionine, phenylalanine, proline, serine, threonine, tryptophan, tyrosine, valine;external pH 3.0;;23021432;
YCR028C;FEN2;Verified;FENpropimorph resistance;null;Chemical compound accumulation;decreased;S288C;H+;;glucose;YNBD;;riboflavin, ammonium, folic acid, uracil;adenine, glutamate, alanine, arginine, asparagine, aspartate, cysteine, glutamine, histidine, isoleucine, leucine, lysine, methionine, phenylalanine, proline, serine, threonine, tryptophan, tyrosine, valine;external pH 5.0;;23021432;
YCR028C;FEN2;Verified;FENpropimorph resistance;null;Chemical compound accumulation;decreased;S288C;H+;;glucose;YNBD;;riboflavin, ammonium, folic acid, uracil;adenine, glutamate, alanine, arginine, asparagine, aspartate, cysteine, glutamine, histidine, isoleucine, leucine, lysine, methionine, phenylalanine, proline, serine, threonine, tryptophan, tyrosine, valine;external pH 7.5;;23021432;
YCR028C;FEN2;Verified;FENpropimorph resistance;null;Chemical compound accumulation;decreased;S288C;H+;;ethanol, glycerol;YNBD;;riboflavin, ammonium, folic acid, uracil;adenine, glutamate, alanine, arginine, asparagine, aspartate, cysteine, glutamine, histidine, isoleucine, leucine, lysine, methionine, phenylalanine, proline, serine, threonine, tryptophan, tyrosine, valine;nonfermentable carbon source (ethanol/glycerol);;23021432;
YCR036W;RBK1;Verified;RiBoKinase;null;Chemical compound accumulation;increased;S288C(BY4743);glycogen;no drain;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, glycerol;;;12096123;
YCR037C;PHO87;Verified;PHOsphate metabolism;null;Chemical compound accumulation;increased;S288C(BY4743);glycogen;no drain;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, glycerol;;;12096123;
YDL067C;COX9;Verified;Cytochrome c OXidase;null;Chemical compound accumulation;decreased;S288C(BY4743);glycogen;no drain;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, glycerol;;;12096123;
YDL142C;CRD1;Verified;CaRDiolipin synthase;null;Chemical compound accumulation;decreased;S288C;cardiolipin;no drain (mit);glucose;YPD;;;;;decreased mitochondrial accumulation of cardiolipin;23042293;
YDL174C;DLD1;Verified;D-Lactate Dehydrogenase;null;Chemical compound accumulation;increased;S288C(BY4741);R-lactate;;glucose;YNBD;YOR202W, YCL018W, YLR303W, YEL021W;;adenine, glutamate, alanine, arginine, asparagine, aspartate, cysteine, glutamine, histidine, isoleucine, leucine, lysine, methionine, phenylalanine, proline, serine, threonine, tryptophan, tyrosine, valine;;increased intra- and extracellular levels of lactate;26774271;
YDL178W;DLD2;Verified;D-Lactate Dehydrogenase;null;Chemical compound accumulation;increased;S288C(BY4741);R-lactate;;glucose;YNBD;YOR202W, YCL018W, YLR303W, YEL021W;;adenine, glutamate, alanine, arginine, asparagine, aspartate, cysteine, glutamine, histidine, isoleucine, leucine, lysine, methionine, phenylalanine, proline, serine, threonine, tryptophan, tyrosine, valine;;"increased extracellular levels of lactate; no change in intracellular levels";26774271;
YDL185W;VMA1;Verified;Vacuolar Membrane Atpase;null;Chemical compound accumulation;increased;S288C(BY4743);glycogen;no drain;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, glycerol;;;12096123;
YDL198C;GGC1;Verified;GDP/GTP Carrier;null;Chemical compound accumulation;decreased;S288C(BY4743);glycogen;no drain;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, glycerol;;;12096123;
YDR017C;KCS1;Verified;pKC1 Suppressor;null;Chemical compound accumulation;decreased;S288C;5-diphospho-1D-myo-inositol pentakisphosphate;no drain;glucose;YPD;;;;;;12391334;
YDR017C;KCS1;Verified;pKC1 Suppressor;null;Chemical compound accumulation;decreased;S288C;myo-inositol hexakisphosphate;no drain;glucose;YPD;;;;;;12391334;
YDR017C;KCS1;Verified;pKC1 Suppressor;null;Chemical compound accumulation;decreased;S288C(BY4743);glycogen;no drain;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, glycerol;;;12096123;
YDR017C;KCS1;Verified;pKC1 Suppressor;null;Chemical compound accumulation;increased;S288C;H+;;glucose;YNBD;;riboflavin, ammonium, folic acid, uracil;adenine, glutamate, alanine, arginine, asparagine, aspartate, cysteine, glutamine, histidine, isoleucine, leucine, lysine, methionine, phenylalanine, proline, serine, threonine, tryptophan, tyrosine, valine;external pH 5.0;;23021432;
YDR017C;KCS1;Verified;pKC1 Suppressor;null;Chemical compound accumulation;increased;S288C;H+;;glucose;YNBD;;riboflavin, ammonium, folic acid, uracil;adenine, glutamate, alanine, arginine, asparagine, aspartate, cysteine, glutamine, histidine, isoleucine, leucine, lysine, methionine, phenylalanine, proline, serine, threonine, tryptophan, tyrosine, valine;external pH 7.5;;23021432;
YDR158W;HOM2;Verified;HOMoserine requiring;null;Chemical compound accumulation;decreased;S288C (BY4742);hydrogen sulfide;no drain (cit);glucose;YPD;YOR202W, YCL018W, YEL021W, YBR115C;;histidine, leucine, uracil, lysine, cysteine;cysteine supplementation (500 mg/L);;25517415;
YDR173C;ARG82;Verified;ARGinine requiring;null;Chemical compound accumulation;decreased;S288C;5-diphospho-1D-myo-inositol pentakisphosphate;no drain;glucose;YPD;;;;;;12391334;
YDR173C;ARG82;Verified;ARGinine requiring;null;Chemical compound accumulation;decreased;S288C;myo-inositol hexakisphosphate;no drain;glucose;YPD;;;;;;12391334;
YDR173C;ARG82;Verified;ARGinine requiring;null;Chemical compound accumulation;decreased;S288C(BY4743);glycogen;no drain;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, glycerol;;;12096123;
YDR204W;COQ4;Verified;COenzyme Q;null;Chemical compound accumulation;decreased;S288C(BY4743);glycogen;no drain;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, glycerol;;;12096123;
YDR226W;ADK1;Verified;ADenylate Kinase;null;Chemical compound accumulation;decreased;S288C;ADP;no drain;glucose;YPD;;;;;;18433446;
YDR226W;ADK1;Verified;ADenylate Kinase;null;Chemical compound accumulation;increased;S288C;AMP;no drain;glucose;YPD;;;;;;18433446;
YDR226W;ADK1;Verified;ADenylate Kinase;null;Chemical compound accumulation;decreased;S288C;ATP;no drain;glucose;YPD;;;;;;18433446;
YDR226W;ADK1;Verified;ADenylate Kinase;null;Chemical compound accumulation;increased;S288C;ethanol;;glucose;YPD;;;;;;18433446;
YDR226W;ADK1;Verified;ADenylate Kinase;null;Chemical compound accumulation;increased;S288C;glycerol;;glucose;YPD;;;;;;18433446;
YDR226W;ADK1;Verified;ADenylate Kinase;null;Chemical compound accumulation;increased;S288C;hypoxanthine;;glucose;YPD;;;;;;18433446;
YDR226W;ADK1;Verified;ADenylate Kinase;null;Chemical compound accumulation;increased;S288C;IMP;no drain (cit);glucose;YPD;;;;;;18433446;
YDR226W;ADK1;Verified;ADenylate Kinase;null;Chemical compound accumulation;increased;S288C;inosine;;glucose;YPD;;;;;;18433446;
YDR226W;ADK1;Verified;ADenylate Kinase;null;Chemical compound accumulation;increased;S288C(BY4743);glycogen;no drain;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, glycerol;;;12096123;
YDR226W;ADK1;Verified;ADenylate Kinase;null;Chemical compound accumulation;decreased;S288C (BY4741);sodium;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W;;histidine, leucine, methionine, uracil;;;23151179;
YDR268W;MSW1;Verified;Mitochondrial aminoacyl-tRNA Synthetase, tryptophan (W);null;Chemical compound accumulation;decreased;S288C(BY4743);glycogen;no drain;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, glycerol;;;12096123;
YDR298C;ATP5;Verified;ATP synthase;null;Chemical compound accumulation;decreased;S288C(BY4743);glycogen;no drain;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, glycerol;;;12096123;
YDR300C;PRO1;Verified;PROline requiring;null;Chemical compound accumulation;decreased;S288C(BY4743);glycogen;no drain;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, glycerol;;;12096123;
YDR315C;IPK1;Verified;Inositol Polyphosphate Kinase;null;Chemical compound accumulation;decreased;S288C(BY4743);glycogen;no drain;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, glycerol;YPD;;12096123;
YDR315C;IPK1;Verified;Inositol Polyphosphate Kinase;null;Chemical compound accumulation;decreased;S288C (BY4742);hydrogen sulfide;no drain (cit);glucose;YPD;YOR202W, YCL018W, YEL021W, YBR115C;;histidine, leucine, uracil, lysine, cysteine;cysteine supplementation (500 mg/L);;25517415;
YDR380W;ARO10;Verified;AROmatic amino acid requiring;null;Chemical compound accumulation;decreased;S288C (BY4741);sulfur;no drain (not present in Y7, create drain in iMM904);glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W;;histidine, leucine, methionine, uracil;;;23151179;
YDR384C;ATO3;Verified;Ammonia (Ammonium) Transport Outward;null;Chemical compound accumulation;decreased;S288C (BY4741);sulfur;no drain (not present in Y7, create drain in iMM904);glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W;;histidine, leucine, methionine, uracil;;;23151179;
YDR408C;ADE8;Verified;ADEnine requiring;null;Chemical compound accumulation;decreased;S288C (BY4742);hydrogen sulfide;no drain (cit);glucose;YPD;YOR202W, YCL018W, YEL021W, YBR115C;;histidine, leucine, uracil, lysine, cysteine;cysteine supplementation (500 mg/L);;25517415;
YDR481C;PHO8;Verified;PHOsphate metabolism;null;Chemical compound accumulation;decreased;S288C(BY4743);ribosylnicotinamide;no drain (cit);glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine;;;21349851;
YDR529C;QCR7;Verified;ubiQuinol-cytochrome C oxidoReductase;null;Chemical compound accumulation;decreased;S288C(BY4743);glycogen;no drain;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, glycerol;;;12096123;
YDR529C;QCR7;Verified;ubiQuinol-cytochrome C oxidoReductase;null;Chemical compound accumulation;decreased;S288C;H+;;glucose;YNBD;;riboflavin, ammonium, folic acid, uracil;adenine, glutamate, alanine, arginine, asparagine, aspartate, cysteine, glutamine, histidine, isoleucine, leucine, lysine, methionine, phenylalanine, proline, serine, threonine, tryptophan, tyrosine, valine;external pH 5.0;;23021432;
YDR529C;QCR7;Verified;ubiQuinol-cytochrome C oxidoReductase;null;Chemical compound accumulation;increased;S288C;H+;;ethanol, glycerol;YNBD;;riboflavin, ammonium, folic acid, uracil;adenine, glutamate, alanine, arginine, asparagine, aspartate, cysteine, glutamine, histidine, isoleucine, leucine, lysine, methionine, phenylalanine, proline, serine, threonine, tryptophan, tyrosine, valine;nonfermentable carbon source (ethanol/glycerol);;23021432;
YEL024W;RIP1;Verified;Rieske Iron-sulfur Protein;null;Chemical compound accumulation;decreased;S288C(BY4743);glycogen;no drain;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, glycerol;;;12096123;
YEL024W;RIP1;Verified;Rieske Iron-sulfur Protein;null;Chemical compound accumulation;decreased;S288C (BY4741);potassium;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W;;histidine, leucine, methionine, uracil;;;23151179;
