Gene [Systematic Name];Gene [Standard Name];ORF Qualifier;Gene Description;Mutant Type;Phenotypes > Observable;Qualifier;Strain Background;Chemical;Drain Info;Carbon source;Medium;Special Condition (remove_genes);Special Condition (remove_metab);Special Condition (add_metab);Condition;Details;PubMed ID;Culture type
YDR264C;AKR1;Verified;AnKyrin Repeat containing;null;Chemical compound excretion;increased;S288C(BY4743);glutathione;;glucose;YNBD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, isoleucine, valine, adenine;SD medium;;15509654;
YDR298C;ATP5;Verified;ATP synthase;null;Chemical compound excretion;increased;S288C(BY4743);glutathione;;glucose;YNBD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, isoleucine, valine, adenine;SD medium;;15509654;
YDR300C;PRO1;Verified;PROline requiring;null;Chemical compound excretion;increased;S288C(BY4743);glutathione;;glucose;YNBD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, isoleucine, valine, adenine;SD medium;;15509654;
YDR497C;ITR1;Verified;myo-Inositol TRansporter;null;Chemical compound excretion;increased;S288C(BY4743);glutathione;;glucose;YNBD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, isoleucine, valine, adenine;SD medium;;15509654;
YDR497C;ITR1;Verified;myo-Inositol TRansporter;null;Chemical compound excretion;increased;S288C(BY4742);myo-inositol;;glucose;YNBD;YOR202W, YCL018W, YEL021W, YBR115C;myo-inositol;methionine, arginine, adenine, leucine, histidine, lysine, tryptophan, uracil;synthetic medium lacking inositol and choline;"Opi- phenotype; overproduction and excretion of inositol in the absence of inositol and choline";16582425;
YDR529C;QCR7;Verified;ubiQuinol-cytochrome C oxidoReductase;null;Chemical compound excretion;increased;S288C(BY4743);glutathione;;glucose;YNBD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, isoleucine, valine, adenine;SD medium;;15509654;
YER056C;FCY2;Verified;FluoroCYtosine resistance;null;Chemical compound excretion;increased;S288C(BY4743);glutathione;;glucose;YNBD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, isoleucine, valine, adenine;SD medium;;15509654;
YER141W;COX15;Verified;Cytochrome c OXidase;null;Chemical compound excretion;increased;S288C(BY4743);glutathione;;glucose;YNBD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, isoleucine, valine, adenine;SD medium;;15509654;
YFR019W;FAB1;Verified;Forms Aploid and Binucleate cells;null;Chemical compound excretion;increased;S288C(BY4743);glutathione;;glucose;YNBD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, isoleucine, valine, adenine;SD medium;;15509654;
YGR157W;CHO2;Verified;CHOline requiring;null;Chemical compound excretion;increased;S288C(BY4742);myo-inositol;;glucose;YNBD;YOR202W, YCL018W, YEL021W, YBR115C;myo-inositol;methionine, arginine, adenine, leucine, histidine, lysine, tryptophan, uracil;synthetic medium lacking inositol and choline;"Opi- phenotype; overproduction and excretion of inositol in the absence of inositol and choline";16582425;
YGR171C;MSM1;Verified;Mitochondrial aminoacyl-tRNA Synthetase, Methionine;null;Chemical compound excretion;increased;S288C(BY4743);glutathione;;glucose;YNBD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, isoleucine, valine, adenine;SD medium;;15509654;
YGR177C;ATF2;Verified;AcetylTransFerase;null;Chemical compound excretion;decreased;S288C;ethyl acetate;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine;13% decrease relative to wildtype;;12957907;(Erlenmeyer shake flasks)
YGR177C;ATF2;Verified;AcetylTransFerase;null;Chemical compound excretion;decreased;S288C;isoamyl acetate;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine;18% decrease relative to wildtype;;12957907;(Erlenmeyer shake flasks)
YGR260W;TNA1;Verified;Transporter of Nicotinic Acid;null;Chemical compound excretion;increased;S288C(BY4742);myo-inositol;;glucose;YNBD;YOR202W, YCL018W, YEL021W, YBR115C;myo-inositol;methionine, arginine, adenine, leucine, histidine, lysine, tryptophan, uracil;synthetic medium lacking inositol and choline;"Opi- phenotype; overproduction and excretion of inositol in the absence of inositol and choline";16582425;
YHL011C;PRS3;Verified;PhosphoRibosylpyrophosphate Synthetase;null;Chemical compound excretion;increased;S288C(BY4743);glutathione;;glucose;YNBD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, isoleucine, valine, adenine;SD medium;;15509654;
YHR011W;DIA4;Verified;Digs Into Agar;null;Chemical compound excretion;increased;S288C(BY4743);glutathione;;glucose;YNBD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, isoleucine, valine, adenine;SD medium;;15509654;
YHR051W;COX6;Verified;Cytochrome c OXidase;null;Chemical compound excretion;increased;S288C(BY4743);glutathione;;glucose;YNBD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, isoleucine, valine, adenine;SD medium;;15509654;
YIL006W;YIA6;Verified;;null;Chemical compound excretion;increased;S288C(BY4743);glutathione;;glucose;YNBD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, isoleucine, valine, adenine;SD medium;;15509654;
YJL153C;INO1;Verified;INOsitol requiring;null;Chemical compound excretion;increased;S288C(BY4743);glutathione;;glucose;YNBD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, isoleucine, valine, adenine;SD medium;;15509654;
YJL166W;QCR8;Verified;ubiQuinol-cytochrome C oxidoReductase;null;Chemical compound excretion;increased;S288C(BY4743);glutathione;;glucose;YNBD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, isoleucine, valine, adenine;SD medium;;15509654;
YJL198W;PHO90;Verified;PHOsphate metabolism;null;Chemical compound excretion;increased;S288C;ribosylnicotinamide;no drain (cit);glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine;;;21349851;
YJL212C;OPT1;Verified;OligoPeptide Transporter;null;Chemical compound excretion;increased;S288C(BY4743);glutathione;;glucose;YNBD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, isoleucine, valine, adenine;SD medium;;15509654;
YJR073C;OPI3;Verified;OverProducer of Inositol;null;Chemical compound excretion;increased;S288C(BY4742);myo-inositol;;glucose;YNBD;YOR202W, YCL018W, YEL021W, YBR115C;myo-inositol;methionine, arginine, adenine, leucine, histidine, lysine, tryptophan, uracil;synthetic medium lacking inositol and choline;"Opi- phenotype; overproduction and excretion of inositol in the absence of inositol and choline";16582425;
YKL085W;MDH1;Verified;Malate DeHydrogenase;null;Chemical compound excretion;increased;S288C(BY4741);acetate;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W;;histidine, leucine, methionine, uracil;;Plates+shake flasks;15659672;
YKL148C;SDH1;Verified;Succinate DeHydrogenase;null;Chemical compound excretion;increased;S288C(BY4741);acetate;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W;;histidine, leucine, methionine, uracil;;Plates+shake flasks;15659672;
YKL212W;SAC1;Verified;Suppressor of ACtin;null;Chemical compound excretion;increased;S288C(BY4743);glutathione;;glucose;YNBD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, isoleucine, valine, adenine;SD medium;;15509654;
YLR209C;PNP1;Verified;purine nucleoside phosphorylase;null;Chemical compound excretion;increased;S288C (BY4741);guanosine;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W;;histidine, leucine, methionine, uracil;;;11466296;
YLR209C;PNP1;Verified;purine nucleoside phosphorylase;null;Chemical compound excretion;increased;S288C (BY4741);inosine;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W;;histidine, leucine, methionine, uracil;;;11466296;
YLR240W;VPS34;Verified;Vacuolar Protein Sorting;null;Chemical compound excretion;increased;S288C(BY4742);myo-inositol;;glucose;YNBD;YOR202W, YCL018W, YEL021W, YBR115C;myo-inositol;methionine, arginine, adenine, leucine, histidine, lysine, tryptophan, uracil;synthetic medium lacking inositol and choline;"Opi- phenotype; overproduction and excretion of inositol in the absence of inositol and choline";16582425;
YLR328W;NMA1;Verified;Nicotinamide Mononucleotide Adenylyltransferase;null;Chemical compound excretion;decreased;S288C;ribosylnicotinamide;no drain (cit);glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine;;;21349851;
YLR447C;VMA6;Verified;Vacuolar Membrane Atpase;null;Chemical compound excretion;increased;S288C(BY4743);glutathione;;glucose;YNBD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, isoleucine, valine, adenine;SD medium;;15509654;
YML123C;PHO84;Verified;PHOsphate metabolism;null;Chemical compound excretion;increased;S288C;ribosylnicotinamide;no drain (cit);glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine;;;21349851;
YNL129W;NRK1;Verified;Nicotinamide Riboside Kinase;null;Chemical compound excretion;increased;S288C;ribosylnicotinamide;no drain (cit);glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine;;;21349851;
YNL219C;ALG9;Verified;Asparagine-Linked Glycosylation;null;Chemical compound excretion;increased;S288C(BY4742);myo-inositol;;glucose;YNBD;YOR202W, YCL018W, YEL021W, YBR115C;myo-inositol;methionine, arginine, adenine, leucine, histidine, lysine, tryptophan, uracil;synthetic medium lacking inositol and choline;"Opi- phenotype; overproduction and excretion of inositol in the absence of inositol and choline";16582425;
YNL280C;ERG24;Verified;ERGosterol biosynthesis;null;Chemical compound excretion;increased;S288C(BY4743);glutathione;;glucose;YNBD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, isoleucine, valine, adenine;SD medium;;15509654;
YNL323W;LEM3;Verified;Ligand-Effect Modulator;null;Chemical compound excretion;increased;S288C(BY4742);myo-inositol;;glucose;YNBD;YOR202W, YCL018W, YEL021W, YBR115C;myo-inositol;methionine, arginine, adenine, leucine, histidine, lysine, tryptophan, uracil;synthetic medium lacking inositol and choline;"Opi- phenotype; overproduction and excretion of inositol in the absence of inositol and choline";16582425;
YOL033W;MSE1;Verified;Mitochondrial aminoacyl-tRNA Synthetase, Glutamate (E);null;Chemical compound excretion;increased;S288C(BY4743);glutathione;;glucose;YNBD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, isoleucine, valine, adenine;SD medium;;15509654;
YOL068C;HST1;Verified;Homolog of SIR Two (SIR2);null;Chemical compound excretion;decreased;S288C;ribosylnicotinamide;no drain (cit);glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine;;;21349851;
YOR071C;NRT1;Verified;Nicotinamide Riboside Transporter;null;Chemical compound excretion;increased;S288C;ribosylnicotinamide;no drain (cit);glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine;;;21349851;
YOR209C;NPT1;Verified;Nicotinate PhosphoribosylTransferase;null;Chemical compound excretion;decreased;S288C;ribosylnicotinamide;no drain (cit);glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine;;;21349851;
YOR332W;VMA4;Verified;Vacuolar Membrane Atpase;null;Chemical compound excretion;increased;S288C(BY4743);glutathione;;glucose;YNBD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, isoleucine, valine, adenine;SD medium;;15509654;
YOR360C;PDE2;Verified;PhosphoDiEsterase;null;Chemical compound excretion;increased;S288C(BY4743);glutathione;;glucose;YNBD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, isoleucine, valine, adenine;SD medium;;15509654;
YOR375C;GDH1;Verified;Glutamate DeHydrogenase;null;Chemical compound excretion;increased;S288C(BY4743);glutathione;;glucose;YNBD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, isoleucine, valine, adenine;SD medium;;15509654;
YOR377W;ATF1;Verified;AcetylTransFerase;null;Chemical compound excretion;decreased;S288C;ethyl acetate;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine;40% decrease relative to wildtype;;12957907;Plates+shake flasks
YOR377W;ATF1;Verified;AcetylTransFerase;null;Chemical compound excretion;decreased;S288C;isoamyl acetate;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine;relative levels reduced to 16% that of the wildtype control;;12957907;Plates+shake flasks
YPL091W;GLR1;Verified;GLutathione Reductase;null;Chemical compound excretion;increased;S288C(BY4743);glutathione;;glucose;YNBD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, isoleucine, valine, adenine;SD medium;;15509654;
YPL262W;FUM1;Verified;FUMarase;null;Chemical compound excretion;increased;S288C;acetate;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine;;;15659672;Plates+shake flasks
YPR036W;VMA13;Verified;Vacuolar Membrane Atpase;null;Chemical compound excretion;increased;S288C(BY4743);glutathione;;glucose;YNBD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, isoleucine, valine, adenine;SD medium;;15509654;
YPR159W;KRE6;Verified;Killer toxin REsistant;null;Chemical compound excretion;increased;S288C(BY4743);glutathione;;glucose;YNBD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, isoleucine, valine, adenine;SD medium;;15509654;
YPR191W;QCR2;Verified;QH2:cytochrome-C oxidoReductase;null;Chemical compound excretion;increased;S288C(BY4743);glutathione;;glucose;YNBD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;histidine, leucine, methionine, uracil, lysine, isoleucine, valine, adenine;SD medium;;15509654;
