Gene [Systematic Name];Gene [Standard Name];ORF Qualifier;Gene Description;Mutant Type;Phenotypes > Observable;Qualifier;Strain Background;Chemical;Drain Info;Carbon source;Medium;Special Condition (remove_genes);Special Condition (remove_metab);Special Condition (add_metab);Condition;Details;PubMed ID;Culture type
YJR139C;HOM6;Verified;HOMoserine requiring;null;Anaerobic growth;decreased;S288C(BY4741);;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W;oxygen;histidine, leucine, methionine, uracil;anoxia;poor growth as indicated by measurements of colony size;23467670;Master plates (each containing an array of ~384 deletion strains). Anoxic conditions were established using OXOID AnaeroGen Biopack (FLUKA) in an air-tight container system
YKL148C;SDH1;Verified;Succinate DeHydrogenase;null;Anaerobic growth;decreased;S288C(BY4741);;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W;oxygen;histidine, leucine, methionine, uracil;anoxia;poor growth as indicated by measurements of colony size;23467670;Master plates (each containing an array of ~384 deletion strains). Anoxic conditions were established using OXOID AnaeroGen Biopack (FLUKA) in an air-tight container system
YKL216W;URA1;Verified;URAcil requiring;null;Anaerobic growth;decreased;S288C(BY4741);;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W;oxygen;histidine, leucine, methionine, uracil;anoxia;poor growth as indicated by measurements of colony size;23467670;Master plates (each containing an array of ~384 deletion strains). Anoxic conditions were established using OXOID AnaeroGen Biopack (FLUKA) in an air-tight container system
YKR039W;GAP1;Verified;General Amino acid Permease;null;Anaerobic growth;decreased;S288C(BY4741);;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W;oxygen;histidine, leucine, methionine, uracil;anoxia;poor growth as indicated by measurements of colony size;23467670;Master plates (each containing an array of ~384 deletion strains). Anoxic conditions were established using OXOID AnaeroGen Biopack (FLUKA) in an air-tight container system
YKR053C;YSR3;Verified;Yeast Sphingolipid Resistance;null;Anaerobic growth;decreased;S288C(BY4741);;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W;oxygen;histidine, leucine, methionine, uracil;anoxia;poor growth as indicated by measurements of colony size;23467670;Master plates (each containing an array of ~384 deletion strains). Anoxic conditions were established using OXOID AnaeroGen Biopack (FLUKA) in an air-tight container system
YKR061W;KTR2;Verified;Kre Two Related;null;Anaerobic growth;decreased;S288C(BY4741);;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W;oxygen;histidine, leucine, methionine, uracil;anoxia;poor growth as indicated by measurements of colony size;23467670;Master plates (each containing an array of ~384 deletion strains). Anoxic conditions were established using OXOID AnaeroGen Biopack (FLUKA) in an air-tight container system
YKR072C;SIS2;Verified;SIt4 Suppressor;null;Anaerobic growth;decreased;S288C(BY4741);;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W;oxygen;histidine, leucine, methionine, uracil;anoxia;poor growth as indicated by measurements of colony size;23467670;Master plates (each containing an array of ~384 deletion strains). Anoxic conditions were established using OXOID AnaeroGen Biopack (FLUKA) in an air-tight container system
YKR080W;MTD1;Verified;Methylene Tetrahydrafolate Dehydrogenase;null;Anaerobic growth;decreased;S288C(BY4741);;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W;oxygen;histidine, leucine, methionine, uracil;anoxia;poor growth as indicated by measurements of colony size;23467670;Master plates (each containing an array of ~384 deletion strains). Anoxic conditions were established using OXOID AnaeroGen Biopack (FLUKA) in an air-tight container system
YLL041C;SDH2;Verified;Succinate DeHydrogenase;null;Anaerobic growth;decreased;S288C(BY4741);;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W;oxygen;histidine, leucine, methionine, uracil;anoxia;poor growth as indicated by measurements of colony size;23467670;Master plates (each containing an array of ~384 deletion strains). Anoxic conditions were established using OXOID AnaeroGen Biopack (FLUKA) in an air-tight container system
YLL057C;JLP1;Verified;dnaJ-Like Protein;null;Anaerobic growth;decreased;S288C(BY4741);;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W;oxygen;histidine, leucine, methionine, uracil;anoxia;poor growth as indicated by measurements of colony size;23467670;Master plates (each containing an array of ~384 deletion strains). Anoxic conditions were established using OXOID AnaeroGen Biopack (FLUKA) in an air-tight container system
YLR089C;ALT1;Verified;ALanine Transaminase;null;Anaerobic growth;decreased;S288C(BY4741);;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W;oxygen;histidine, leucine, methionine, uracil;anoxia;poor growth as indicated by measurements of colony size;23467670;Master plates (each containing an array of ~384 deletion strains). Anoxic conditions were established using OXOID AnaeroGen Biopack (FLUKA) in an air-tight container system
YML070W;DAK1;Verified;DihydroxyAcetone Kinase;null;Anaerobic growth;decreased;S288C(BY4741);;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W;oxygen;histidine, leucine, methionine, uracil;anoxia;poor growth as indicated by measurements of colony size;23467670;Master plates (each containing an array of ~384 deletion strains). Anoxic conditions were established using OXOID AnaeroGen Biopack (FLUKA) in an air-tight container system
YMR054W;STV1;Verified;Similar To VPH1;null;Anaerobic growth;decreased;S288C(BY4741);;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W;oxygen;histidine, leucine, methionine, uracil;anoxia;poor growth as indicated by measurements of colony size;23467670;Master plates (each containing an array of ~384 deletion strains). Anoxic conditions were established using OXOID AnaeroGen Biopack (FLUKA) in an air-tight container system
YMR056C;AAC1;Verified;ADP/ATP Carrier;null;Anaerobic growth;decreased;S288C(BY4741);;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W;oxygen;histidine, leucine, methionine, uracil;anoxia;poor growth as indicated by measurements of colony size;23467670;Master plates (each containing an array of ~384 deletion strains). Anoxic conditions were established using OXOID AnaeroGen Biopack (FLUKA) in an air-tight container system
YMR145C;NDE1;Verified;NADH Dehydrogenase, External;null;Anaerobic growth;decreased;S288C(BY4741);;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W;oxygen;histidine, leucine, methionine, uracil;anoxia;poor growth as indicated by measurements of colony size;23467670;Master plates (each containing an array of ~384 deletion strains). Anoxic conditions were established using OXOID AnaeroGen Biopack (FLUKA) in an air-tight container system
YMR246W;FAA4;Verified;Fatty Acid Activation;null;Anaerobic growth;decreased;S288C(BY4741);;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W;oxygen;histidine, leucine, methionine, uracil;anoxia;poor growth as indicated by measurements of colony size;23467670;Master plates (each containing an array of ~384 deletion strains). Anoxic conditions were established using OXOID AnaeroGen Biopack (FLUKA) in an air-tight container system
YMR256C;COX7;Verified;Cytochrome c OXidase;null;Anaerobic growth;decreased;S288C(BY4741);;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W;oxygen;histidine, leucine, methionine, uracil;anoxia;poor growth as indicated by measurements of colony size;23467670;Master plates (each containing an array of ~384 deletion strains). Anoxic conditions were established using OXOID AnaeroGen Biopack (FLUKA) in an air-tight container system
YNL009W;IDP3;Verified;Isocitrate Dehydrogenase, NADP-dependent;null;Anaerobic growth;decreased;S288C(BY4741);;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W;oxygen;histidine, leucine, methionine, uracil;anoxia;poor growth as indicated by measurements of colony size;23467670;Master plates (each containing an array of ~384 deletion strains). Anoxic conditions were established using OXOID AnaeroGen Biopack (FLUKA) in an air-tight container system
YNL052W;COX5A;Verified;Cytochrome c OXidase;null;Anaerobic growth;decreased;S288C(BY4741);;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W;oxygen;histidine, leucine, methionine, uracil;anoxia;poor growth as indicated by measurements of colony size;23467670;Master plates (each containing an array of ~384 deletion strains). Anoxic conditions were established using OXOID AnaeroGen Biopack (FLUKA) in an air-tight container system
YNL280C;ERG24;Verified;ERGosterol biosynthesis;null;Anaerobic growth;decreased;S288C(BY4741);;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W;oxygen;histidine, leucine, methionine, uracil;anoxia;poor growth as indicated by measurements of colony size;23467670;Master plates (each containing an array of ~384 deletion strains). Anoxic conditions were established using OXOID AnaeroGen Biopack (FLUKA) in an air-tight container system
YNR058W;BIO3;Verified;BIOtin;null;Anaerobic growth;decreased;S288C(BY4741);;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W;oxygen;histidine, leucine, methionine, uracil;anoxia;poor growth as indicated by measurements of colony size;23467670;Master plates (each containing an array of ~384 deletion strains). Anoxic conditions were established using OXOID AnaeroGen Biopack (FLUKA) in an air-tight container system
YOL059W;GPD2;Verified;Glycerol-3-Phosphate Dehydrogenase;null;Anaerobic growth;decreased;S288C(BY4741);;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W;oxygen;histidine, leucine, methionine, uracil;anoxia;poor growth as indicated by measurements of colony size;23467670+9171333;Master plates (each containing an array of ~384 deletion strains). Anoxic conditions were established using OXOID AnaeroGen Biopack (FLUKA) in an air-tight container system
YOL086C;ADH1;Verified;Alcohol DeHydrogenase;null;Anaerobic growth;decreased;S288C(BY4741);;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W;oxygen;histidine, leucine, methionine, uracil;anoxia;poor growth as indicated by measurements of colony size;23467670;Master plates (each containing an array of ~384 deletion strains). Anoxic conditions were established using OXOID AnaeroGen Biopack (FLUKA) in an air-tight container system
YOR108W;LEU9;Verified;LEUcine biosynthesis;null;Anaerobic growth;decreased;S288C(BY4741);;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W;oxygen;histidine, leucine, methionine, uracil;anoxia;poor growth as indicated by measurements of colony size;23467670;Master plates (each containing an array of ~384 deletion strains). Anoxic conditions were established using OXOID AnaeroGen Biopack (FLUKA) in an air-tight container system
YOR109W;INP53;Verified;INositol polyphosphate 5-Phosphatase;null;Anaerobic growth;decreased;S288C(BY4741);;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W;oxygen;histidine, leucine, methionine, uracil;anoxia;poor growth as indicated by measurements of colony size;23467670;Master plates (each containing an array of ~384 deletion strains). Anoxic conditions were established using OXOID AnaeroGen Biopack (FLUKA) in an air-tight container system
YOR126C;IAH1;Verified;Isoamyl Acetate-Hydrolyzing esterase;null;Anaerobic growth;decreased;S288C(BY4741);;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W;oxygen;histidine, leucine, methionine, uracil;anoxia;poor growth as indicated by measurements of colony size;23467670;Master plates (each containing an array of ~384 deletion strains). Anoxic conditions were established using OXOID AnaeroGen Biopack (FLUKA) in an air-tight container system
YOR184W;SER1;Verified;SERine requiring;null;Anaerobic growth;decreased;S288C(BY4741);;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W;oxygen;histidine, leucine, methionine, uracil;anoxia;poor growth as indicated by measurements of colony size;23467670;Master plates (each containing an array of ~384 deletion strains). Anoxic conditions were established using OXOID AnaeroGen Biopack (FLUKA) in an air-tight container system
YOR245C;DGA1;Verified;DiacylGlycerol Acyltransferase;null;Anaerobic growth;decreased;S288C(BY4741);;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W;oxygen;histidine, leucine, methionine, uracil;anoxia;poor growth as indicated by measurements of colony size;23467670;Master plates (each containing an array of ~384 deletion strains). Anoxic conditions were established using OXOID AnaeroGen Biopack (FLUKA) in an air-tight container system
YOR303W;CPA1;Verified;Carbamyl Phosphate synthetase A;null;Anaerobic growth;decreased;S288C(BY4741);;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W;oxygen;histidine, leucine, methionine, uracil;anoxia;poor growth as indicated by measurements of colony size;23467670;Master plates (each containing an array of ~384 deletion strains). Anoxic conditions were established using OXOID AnaeroGen Biopack (FLUKA) in an air-tight container system
YOR332W;VMA4;Verified;Vacuolar Membrane Atpase;null;Anaerobic growth;decreased;S288C(BY4741);;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W;oxygen;histidine, leucine, methionine, uracil;anoxia;poor growth as indicated by measurements of colony size;23467670;Master plates (each containing an array of ~384 deletion strains). Anoxic conditions were established using OXOID AnaeroGen Biopack (FLUKA) in an air-tight container system
YPL087W;YDC1;Verified;Yeast DihydroCeramidase;null;Anaerobic growth;decreased;S288C(BY4741);;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W;oxygen;histidine, leucine, methionine, uracil;anoxia;poor growth as indicated by measurements of colony size;23467670;Master plates (each containing an array of ~384 deletion strains). Anoxic conditions were established using OXOID AnaeroGen Biopack (FLUKA) in an air-tight container system
YPL188W;POS5;Verified;PerOxide Sensitive;null;Anaerobic growth;decreased;S288C(BY4741);;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W;oxygen;histidine, leucine, methionine, uracil;anoxia;;12727869;O2‐depleted culture jar
YPL244C;HUT1;Verified;Homolog of UDP-galactose Transporter;null;Anaerobic growth;decreased;S288C(BY4741);;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W;oxygen;histidine, leucine, methionine, uracil;anoxia;poor growth as indicated by measurements of colony size;23467670;Master plates (each containing an array of ~384 deletion strains). Anoxic conditions were established using OXOID AnaeroGen Biopack (FLUKA) in an air-tight container system
YPR051W;MAK3;Verified;MAintenance of Killer;null;Anaerobic growth;decreased;S288C(BY4741);;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W;oxygen;histidine, leucine, methionine, uracil;anoxia;poor growth as indicated by measurements of colony size;23467670;Master plates (each containing an array of ~384 deletion strains). Anoxic conditions were established using OXOID AnaeroGen Biopack (FLUKA) in an air-tight container system
YPR138C;MEP3;Verified;;null;Anaerobic growth;decreased;S288C(BY4741);;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W;oxygen;histidine, leucine, methionine, uracil;anoxia;poor growth as indicated by measurements of colony size;23467670;Master plates (each containing an array of ~384 deletion strains). Anoxic conditions were established using OXOID AnaeroGen Biopack (FLUKA) in an air-tight container system
YPR160W;GPH1;Verified;Glycogen PHosphorylase;null;Anaerobic growth;decreased;S288C(BY4741);;;glucose;YPD;YOR202W, YCL018W, YLR303W, YEL021W;oxygen;histidine, leucine, methionine, uracil;anoxia;poor growth as indicated by measurements of colony size;23467670;Master plates (each containing an array of ~384 deletion strains). Anoxic conditions were established using OXOID AnaeroGen Biopack (FLUKA) in an air-tight container system
