Gene [Systematic Name];Gene [Standard Name];ORF qualifier;Phenotypes > Observable;Experiment Type;Experiment Type Category;Mutant information;Strain Background;Strain Backgr (specific);Chemical;Chemical (drain);Carbon source;Medium;Special Condition (remove_genes);Special Condition (remove_metab);Special Condition (add_metab);Details;PubMed ID;Present in GSMM;Notes;PATHWAY;PATHWAY [subclass]
YMR170C;ALD2;Verified;auxotrophy;classical genetics;classical genetics;null;S288C;;beta-alanine;beta-alanine;glucose;YPD;;;;;12586697;Y;;Beta-alanine metabolism;Metabolism of other amino acids
YMR170C;ALD2;Verified;auxotrophy;classical genetics;classical genetics;null;S288C;;pantothenic acid;pantothenate;glucose;YPD;;;;;12586697;Y;;Beta-alanine metabolism;Metabolism of other amino acids
YHR013C;ARD1;Verified;auxotrophy;homozygous diploid, systematic mutation set;large-scale survey;null;S288C;BY4743;myo-inositol;myo-inositol;glucose;YNBD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;methionine, arginine, adenine, leucine, histidine, lysine, tryptophan, uracil, choline;S- no visible growth on I−C+ media (at 30ºC);21136082;Y;;Other;Other
YOL058W;ARG1;Verified;auxotrophy;classical genetics;classical genetics;null;Sigma1278b;;arginine;arginine;glucose;YPD;;;;;2897249;Y;;Arginine and proline metabolism;Amino acid metabolism
YJL071W;ARG2;Verified;auxotrophy;classical genetics;classical genetics;null;S288C;;arginine;arginine;glucose;YPD;;;;;10509023;Y;;Arginine and proline metabolism;Amino acid metabolism
YJL088W;ARG3;Verified;auxotrophy;classical genetics;classical genetics;null;Other;;arginine;arginine;glucose;YPD;;;ornithine;;3295876;Y;;Arginine and proline metabolism;Amino acid metabolism
YER069W;ARG5,6;Verified;auxotrophy;classical genetics;classical genetics;unspecified;Other;;arginine;arginine;glucose;YNBD;;;;;1851947;Y;;Arginine and proline metabolism;Amino acid metabolism
YMR062C;ARG7;Verified;auxotrophy;classical genetics;classical genetics;null;Sigma1278b;;arginine;arginine;glucose;YPD;;;;leaky phenotype, with some poor growth in the absence of arginine ;9428669;Y;;Arginine and proline metabolism;Amino acid metabolism
YDR173C;ARG82;Verified;auxotrophy;classical genetics;classical genetics;null;Other;;ornithine;ornithine;glucose;YPD;;;;;10720331;Y;;Inositol phosphate metabolism;Carbohydrate metabolism
YDR173C;ARG82;Verified;auxotrophy;homozygous diploid, systematic mutation set;large-scale survey;null;S288C;BY4743;myo-inositol;myo-inositol;glucose;YNBD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;methionine, arginine, adenine, leucine, histidine, lysine, tryptophan, uracil, choline;S- no visible growth on I−C+ media (at 30ºC);21136082;Y;;Inositol phosphate metabolism;Carbohydrate metabolism
YDR127W;ARO1;Verified;auxotrophy;classical genetics;classical genetics;unspecified;Other;;aromatic amino acid;phenylalanine, tryptophan, tyrosine;glucose;YPD;;;;;361708;Y;;Phenylalanine, tyrosine and tryptophan biosynthesis;Amino acid metabolism
YGL148W;ARO2;Verified;auxotrophy;classical genetics;classical genetics;unspecified;Other;;aromatic amino acid;phenylalanine, tryptophan, tyrosine;glucose;YPD;;;;;361708;Y;;Phenylalanine, tyrosine and tryptophan biosynthesis;Amino acid metabolism
YPR060C;ARO7;Verified;auxotrophy;classical genetics;classical genetics;null;Other;YT-4Ca ;phenylalanine;phenylalanine, tyrosine;glucose;YPD;;;;;1924339;Y;;Phenylalanine, tyrosine and tryptophan biosynthesis;Amino acid metabolism
YGR286C;BIO2;Verified;auxotrophy;classical genetics;classical genetics;null;W303;;biotin;biotin;glucose;YNBD;;;;;10525840;Y;;Biotin metabolism;Metabolism of cofactors and vitamins
YEL063C;CAN1;Verified;auxotrophy;classical genetics;classical genetics;unspecified;Sigma1278b;;L-arginine;arginine;glucose;YPD;;;;;5964977;Y;;Transport;Transport
YER026C;CHO1;Verified;auxotrophy;classical genetics;classical genetics;null;Other;LH8 ;choline;choline;glucose;YNBD;;myo-inositol;;;2854123;Y;;Glycerophospholipid metabolism;Lipid metabolism
YDR232W;HEM1;Verified;auxotrophy;classical genetics;classical genetics;unspecified Allele: hem1-3;X2180-1A;;heme;heme;glucose;YPD;;;;;323256;Y;;Porphyrin and chlorophyll metabolism;Metabolism of cofactors and vitamins
YDR232W;HEM1;Verified;auxotrophy;classical genetics;classical genetics;null;Other;;cysteine;cysteine;glucose;YNBD;;;methionine, ergosterol;;11051561;Y;;Porphyrin and chlorophyll metabolism;Metabolism of cofactors and vitamins
YAL012W;CYS3;Verified;auxotrophy;classical genetics;classical genetics;null;W303;;cysteine;cysteine;glycerol;YNBD;;glucose;uracil, histidine, adenine, leucine, tryptophan;;8366024;Y;;Cysteine and methionine metabolism;Amino acid metabolism
YGR155W;CYS4;Verified;auxotrophy;classical genetics;classical genetics;null;W303;;cysteine;cysteine;glycerol;YNBD;;glucose;uracil, histidine, adenine, leucine, tryptophan;;8366024;Y;;Cysteine and methionine metabolism;Amino acid metabolism
YBR252W;DUT1;Verified;auxotrophy;classical genetics;classical genetics;null;Other;;dTMP;dTMP;glucose;YNBD;;;;Details: null is dTMP auxotroph|viable when supplied with exogenous dTM ;8223452;Y;;Pyrimidine metabolism;Nucleotide metabolism
YBR176W;ECM31;Verified;auxotrophy;classical genetics;classical genetics;null;S288C;BY4742;pantothenic acid;pantothenate;glucose;YNBD;YOR202W, YCL018W, YEL021W, YBR115C;;adenine, uracil, methionine, arginine, histidine, tyrosine, lysine, leucine, isoleucine, phenylalanine, valine, aspartate, threonine, glutamate, serine;Condition: media lacking polyamines ;11154694, 19266201;Y;;Pantothenate and CoA biosynthesis;Metabolism of cofactors and vitamins
YGL040C;HEM2;Verified;auxotrophy;classical genetics;classical genetics;unspecified Allele: hem2-2;X2180-1A;;heme;heme;glucose;YPD;;;;;323256;Y;;Porphyrin and chlorophyll metabolism;Metabolism of cofactors and vitamins
YGR060W;ERG25;Verified;auxotrophy;classical genetics;classical genetics;null;Other;;ergosterol;ergosterol;glucose;YPD;;;;;8552601;Y;;Sterol metabolism;Lipid metabolism
YLR100W;ERG27;Verified;auxotrophy;classical genetics;classical genetics;null;Other;;ergosterol;ergosterol;glucose;YPD;;;;;10535978;Y;;Sterol metabolism;Lipid metabolism
YFR019W;FAB1;Verified;auxotrophy;homozygous diploid, systematic mutation set;large-scale survey;null;S288C;BY4743;myo-inositol;myo-inositol;glucose;YNBD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;methionine, arginine, adenine, leucine, histidine, lysine, tryptophan, uracil, choline;"S- no visible growth on I−C+ media (at 30ºC and I-C-; NG at 37ºC)";21136082;Y;;Glycerophospholipid metabolism;Lipid metabolism
YKL182W;FAS1;Verified;auxotrophy;classical genetics;classical genetics;null;Other;;fatty acid;palmitate;glucose;YNBD;;;;Details: 0.03% palmitic acid supports growth ;1735446;Y;;Fatty acid metabolism;Lipid metabolism
YPL231W;FAS2;Verified;auxotrophy;classical genetics;classical genetics;null;Other;;fatty acid;palmitate;glucose;YNBD;;;;Details: 0.03% palmitic acid supports growth ;1735446;Y;;Fatty acid metabolism;Lipid metabolism
YMR020W;FMS1;Verified;auxotrophy;classical genetics;classical genetics;null;S288C;BY4742;0.1 mM beta-alanine;beta-alanine;glucose;YNBD;YOR202W, YCL018W, YEL021W, YBR115C;pantothenate;adenine, uracil, methionine, arginine, histidine, tyrosine, lysine, leucine, isoleucine, phenylalanine, valine, aspartate, threonine, glutamate, serine;Condition: media lacking polyamines ;11154694;Y;;Pantothenate and CoA biosynthesis;Metabolism of cofactors and vitamins
YMR020W;FMS1;Verified;auxotrophy;classical genetics;classical genetics;null;S288C;BY4742;0.1 mM pantothenic acid;pantothenate;glucose;YNBD;YOR202W, YCL018W, YEL021W, YBR115C;;adenine, uracil, methionine, arginine, histidine, tyrosine, lysine, leucine, isoleucine, phenylalanine, valine, aspartate, threonine, glutamate, serine;Condition: media lacking polyamines ;11154694;Y;;Pantothenate and CoA biosynthesis;Metabolism of cofactors and vitamins
YNL256W;FOL1;Verified;auxotrophy;classical genetics;classical genetics;null;Other;;folic acid;folic acid;glucose;YNBD;;4-aminobenzoate;;;15215118;Y;;Folate metabolism;Metabolism of cofactors and vitamins
YGR267C;FOL2;Verified;auxotrophy;classical genetics;classical genetics;null;W303;;5-formyltetrahydrofolic acid;5-formyltetrahydrofolic acid;glucose;YPD;;;;Details: cells shifted from folinic acid supplemented to non-supplemented media ;8573145;Y;;Folate metabolism;Metabolism of cofactors and vitamins
YMR113W;FOL3;Verified;auxotrophy;classical genetics;classical genetics;null;W303;;5-formyltetrahydrofolic acid;5-formyltetrahydrofolic acid;glucose;YNBD;;;;Condition: adenine ;10799479;Y;;Folate metabolism;Metabolism of cofactors and vitamins
YGR204W;ADE3;Verified;auxotrophy;homozygous diploid;classical genetics;null Allele: ade3-41 mutation blocks all three enzymatic activities of Ade3p;Other;;adenine, histidine;adenine, histidine;glucose;YNBD;;;adenine, histidine, leucine, uracil, serine, glycine;Details: mutation also blocks the ability to synthesize serine from glycine + formate ;328341;Y;;Folate metabolism;Metabolism of cofactors and vitamins
YMR217W;GUA1;Verified;auxotrophy;classical genetics;classical genetics;null;Other;;guanine;guanine;glucose;YPD;;;;;8112582;Y;;Purine metabolism;Nucleotide metabolism
YDR007W;TRP1;Verified;auxotrophy;classical genetics;classical genetics;unspecified;X2180-1A;;tryptophan;tryptophan;glucose;YNBD;;;;;348687;Y;;Phenylalanine, tyrosine and tryptophan biosynthesis;Amino acid metabolism
YDR007W;TRP1;Verified;auxotrophy;classical genetics;classical genetics;null;Other;;Undefined;tryptophan;glucose;YPD;;;;Details: requires tryptophan for growth ;6248420;Y;;Phenylalanine, tyrosine and tryptophan biosynthesis;Amino acid metabolism
YDR047W;HEM12;Verified;auxotrophy;classical genetics;classical genetics;null;Undefined;not specified;heme;heme;glucose;YPD;;;;;15257413;Y;;Porphyrin and chlorophyll metabolism;Metabolism of cofactors and vitamins
YER090W;TRP2;Verified;auxotrophy;classical genetics;classical genetics;unspecified;X2180-1A;;tryptophan;tryptophan;glucose;YNBD;;;;;348687;Y;;Phenylalanine, tyrosine and tryptophan biosynthesis;Amino acid metabolism
YDL205C;HEM3;Verified;auxotrophy;classical genetics;classical genetics;null;Other;;heme;heme;glucose;YPD;;;;;1508149;Y;;Porphyrin and chlorophyll metabolism;Metabolism of cofactors and vitamins
YOR278W;HEM4;Verified;auxotrophy;classical genetics;classical genetics;null;Other;S150-2B;heme;heme;glucose;YNBD;;;histidine, tryptophan, uracil, leucine;;18042043;Y;;Porphyrin and chlorophyll metabolism;Metabolism of cofactors and vitamins
YKL211C;TRP3;Verified;auxotrophy;classical genetics;classical genetics;unspecified;X2180-1A;;tryptophan;tryptophan;glucose;YNBD;;;;;348687;Y;;Phenylalanine, tyrosine and tryptophan biosynthesis;Amino acid metabolism
YDR354W;TRP4;Verified;auxotrophy;classical genetics;classical genetics;unspecified;X2180-1A;;tryptophan;tryptophan;glucose;YNBD;;;;;348687;Y;;Phenylalanine, tyrosine and tryptophan biosynthesis;Amino acid metabolism
YOR202W;HIS3;Verified;auxotrophy;classical genetics;classical genetics;null;Other;DBY630/DBY632;histidine;histidine;glucose;YNBD;;;;;388424;Y;BY4743 auxotrophy;Histidine metabolism;Amino acid metabolism
YHR018C;ARG4;Verified;auxotrophy;classical genetics;classical genetics;reduction of function Allele: arg4-2;Other;;Undefined;arginine;glucose;YNBD;;;;Details: cells require arginine for growth on minimal media ;386351;Y;;Arginine and proline metabolism;Amino acid metabolism
YJL167W;ERG20;Verified;auxotrophy;classical genetics;classical genetics;unspecified;Other;;ergosterol;ergosterol;glucose;YNBD;;;;;2245473;Y;;Sterol metabolism;Lipid metabolism
YER023W;PRO3;Verified;auxotrophy;classical genetics;classical genetics;unspecified;Other;;proline;proline;glucose;YNBD;;;;;2824433;Y;;Arginine and proline metabolism;Amino acid metabolism
YBR248C;HIS7;Verified;auxotrophy;classical genetics;classical genetics;null;S288C;;histidine;histidine;glucose;YPD;;;;;8366040;Y;Strain backgr : other --> S288c;Histidine metabolism;Amino acid metabolism
YCL030C;HIS4;Verified;auxotrophy;classical genetics;classical genetics;unspecified Allele: his4-912-delta;S288C;;histidine;histidine;glucose;YNBD;;;;;2850465;Y;;Histidine metabolism;Amino acid metabolism
YPR035W;GLN1;Verified;auxotrophy;classical genetics;classical genetics;unspecified;Sigma1278b;;glutamine;glutamine;glucose;YNBD;;;;;2865193;Y;;Glutamine metabolism;Amino acid metabolism
YGL154C;LYS5;Verified;auxotrophy;classical genetics;classical genetics;reduction of function Allele: lys5-101 UV-induced mutation;D273-10B;;lysine;lysine;glucose;YNBD;;;;Details: leaky auxotrophy ;3921525;Y;;Lysine biosynthesis;Amino acid metabolism
YFR025C;HIS2;Verified;auxotrophy;classical genetics;classical genetics;unspecified;Other;;histidine;histidine;glucose;YNBD;;;uracil, tryptophan, histidine;;4329443;Y;;Histidine metabolism;Amino acid metabolism
YDR158W;HOM2;Verified;auxotrophy;classical genetics;classical genetics;unspecified;Other;;methionine, threonine;methionine, threonine;glucose;YPD;;;;;4380684;Y;;Glycine, serine and threonine metabolism;Amino acid metabolism
YDR158W;HOM2;Verified;auxotrophy;classical genetics;classical genetics;unspecified;Other;;homoserine;homoserine;glucose;YPD;;;;;4380684;Y;;Glycine, serine and threonine metabolism;Amino acid metabolism
YER052C;HOM3;Verified;auxotrophy;classical genetics;classical genetics;unspecified;Other;;methionine, threonine;methionine, threonine;glucose;YPD;;;;;4380684;Y;;Glycine, serine and threonine metabolism;Amino acid metabolism
YER052C;HOM3;Verified;auxotrophy;classical genetics;classical genetics;unspecified;Other;;homoserine;homoserine;glucose;YPD;;;;;4380684;Y;;Glycine, serine and threonine metabolism;Amino acid metabolism
YJR016C;ILV3;Verified;auxotrophy;classical genetics;classical genetics;null;Other;;isoleucine;isoleucine, valine;glucose;YNBD;;;valine, histidine, tryptophan;;14124940;Y;;Valine, leucine and isoleucine metabolism;Amino acid metabolism
YJL153C;INO1;Verified;auxotrophy;classical genetics;classical genetics;null;S288C;DC5;inositol;myo-inositol;glucose;YNBD;;;alanine, arginine, asparagine, aspartate, cysteine, glutamine, histidine, isoleucine, leucine, lysine, methionine, phenylalanine, proline, serine, threonine, tryptophan, tyrosine, valine, uracil;;2642902;Y;;Inositol phosphate metabolism;Carbohydrate metabolism
YNL323W;LEM3;Verified;auxotrophy;classical genetics;classical genetics;null;S288C;BY4743;tryptophan;tryptophan;glucose;YNBD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;alanine, arginine, asparagine, aspartate, cysteine, glutamine, histidine, isoleucine, leucine, lysine, methionine, phenylalanine, proline, serine, threonine, tryptophan, tyrosine, valine, uracil;;23250744;Y;;Other;Other
YJR139C;HOM6;Verified;auxotrophy;classical genetics;classical genetics;unspecified;Other;;methionine, threonine;methionine, threonine;glucose;YPD;;;;;4380684;Y;;Glycine, serine and threonine metabolism;Amino acid metabolism
YJR139C;HOM6;Verified;auxotrophy;classical genetics;classical genetics;unspecified;Other;;homoserine;homoserine;glucose;YPD;;;;;4380684;Y;;Glycine, serine and threonine metabolism;Amino acid metabolism
YML106W;URA5;Verified;auxotrophy;classical genetics;classical genetics;null Allele: ura5-5;FL100;;Undefined;uracil;glucose;YNBD;;;;Details: leaky ;4550660;Y;;Pyrimidine metabolism;Nucleotide metabolism
YBR115C;LYS2;Verified;auxotrophy;classical genetics;classical genetics;null;Other;;lysine;lysine;glucose;YPD;;;;;6326126;Y;BY4743 auxotrophy: reduction of function Allele: : lys2-173 Ty element insertion  --> null;Lysine biosynthesis;Amino acid metabolism
YDL131W;LYS21;Verified;auxotrophy;classical genetics;classical genetics;null;Other;;lysine;lysine;glucose;YNBD;;;uracil;Details: auxotrophy is only observed during respiratory growth ;18524920;Y;;Lysine biosynthesis;Amino acid metabolism
YKR069W;MET1;Verified;auxotrophy;classical genetics;classical genetics;null;Undefined;not specified;methionine;methionine;glucose;YNBD;;;;;1101032;Y;;Porphyrin and chlorophyll metabolism;Metabolism of cofactors and vitamins
YFR030W;MET10;Verified;auxotrophy;classical genetics;classical genetics;null;Undefined;not specified;methionine;methionine;glucose;YNBD;;;;;1101032;Y;;Cysteine and methionine metabolism;Amino acid metabolism
YGL125W;MET13;Verified;auxotrophy;classical genetics;classical genetics;null;S288C;not specified;methionine;methionine;glucose;YNBD;;;;Condition: grown on SD medium: growth restored when methionine added to medium ;10029993, 1101032, 10600168;Y;;Folate metabolism;Metabolism of cofactors and vitamins
YKL001C;MET14;Verified;auxotrophy;classical genetics;classical genetics;null;Undefined;not specified;methionine;methionine;glucose;YNBD;;;;;1101032;Y;;Cysteine and methionine metabolism;Amino acid metabolism
YLR303W;MET17;Verified;auxotrophy;classical genetics;classical genetics;null;AS2 ;;methionine;methionine;glucose;YPD;;;;Details: methionine auxutrophy is alleviated in the presence of mercury compounds ;4364332;Y;BY4743 auxotrophy;Cysteine and methionine metabolism;Amino acid metabolism
YNL277W;MET2;Verified;auxotrophy;classical genetics;classical genetics;null;AS2 ;;methionine;methionine;glucose;YPD;;;;Details: methionine auxutrophy is alleviated in the presence of mercury compounds ;4364332;Y;;Cysteine and methionine metabolism;Amino acid metabolism
YOL064C;MET22;Verified;auxotrophy;classical genetics;classical genetics;null;Undefined;not specified;methionine;methionine;glucose;YNBD;;;;;1101032;Y;;Cysteine and methionine metabolism;Amino acid metabolism
YJR010W;MET3;Verified;auxotrophy;classical genetics;classical genetics;null;Undefined;not specified;methionine;methionine;glucose;YNBD;;;;;1101032;Y;;Cysteine and methionine metabolism;Amino acid metabolism
YJR137C;MET5;Verified;auxotrophy;classical genetics;classical genetics;null;S288C;not specified;methionine;methionine;glucose;YNBD;;;;;1101032;Y;;Cysteine and methionine metabolism;Amino acid metabolism
YER091C;MET6;Verified;auxotrophy;classical genetics;classical genetics;null;Undefined;not specified;methionine;methionine;glucose;YNBD;;;;;1101032;Y;;Cysteine and methionine metabolism;Amino acid metabolism
YOR241W;MET7;Verified;auxotrophy;classical genetics;classical genetics;null;S288C;;Undefined;methionine;glucose;YNBD;;;;;11223131;Y;;Folate metabolism;Metabolism of cofactors and vitamins
YBR213W;MET8;Verified;auxotrophy;classical genetics;classical genetics;null;Undefined;not specified;methionine;methionine;glucose;YNBD;;;;;1101032;Y;;Porphyrin and chlorophyll metabolism;Metabolism of cofactors and vitamins
YGL080W;MPC1;Verified;auxotrophy;classical genetics;classical genetics;null;S288C;;valine;valine;glucose;YNBD;;;leucine;Details: growth on minimal medium requires supplementation with leucine and valine ;22628554;Y;;Transport;Transport
YHR162W;MPC2;Verified;auxotrophy;classical genetics;classical genetics;null;W303;;leucine;leucine;glucose;YNBD;;;;Details: very slow growth on minimal medium in the absence of leucine ;22628558;Y;;Transport;Transport
YKR080W;MTD1;Verified;auxotrophy;classical genetics;classical genetics;null;Other;;adenine;adenine;glucose;YNBD;;serine, leucine, histidine, tryptophan, uracil;;;8416923;Y;;Folate metabolism;Metabolism of cofactors and vitamins
YKL120W;OAC1;Verified;auxotrophy;classical genetics;classical genetics;null;S288C;BY4742;leucine;leucine;glucose;YPD;YOR202W, YCL018W, YEL021W, YBR115C;;histidine, leucine, uracil, lysine;Details: leaky ;18682385;Y;;Transport;Transport
YIL145C;PAN6;Verified;auxotrophy;classical genetics;classical genetics;null;S288C;;pantothenate;pantothenate;glucose;YNBD;;;;;25572876, 19266201;Y;;Pantothenate and CoA biosynthesis;Metabolism of cofactors and vitamins
YNL003C;PET8;Verified;auxotrophy;classical genetics;classical genetics;null;S288C;;biotin;biotin;glucose;YPD;;;;;14609944;Y;;Transport;Transport
YNL316C;PHA2;Verified;auxotrophy;classical genetics;classical genetics;null;Other;;Undefined;phenylalanine;glucose;YPD;;;;pheynlalanine requiring ;5900603;Y;;Phenylalanine, tyrosine and tryptophan biosynthesis;Amino acid metabolism
YPL268W;PLC1;Verified;auxotrophy;classical genetics;classical genetics;null;Other;;ornithine;ornithine;glucose;YPD;;;;;10720331;Y;;Inositol phosphate metabolism;Carbohydrate metabolism
YBL033C;RIB1;Verified;auxotrophy;classical genetics;classical genetics;unspecified;S288C;;riboflavin;riboflavin;glucose;YNBD;;;riboflavin, isoleucine, leucine, threonine, valine, methionine, uracil, tryptophan, lysine, arginine, histidine, adenine;;5366000;Y;;Riboflavin, FMN and FAD metabolism;Metabolism of cofactors and vitamins
YOL066C;RIB2;Verified;auxotrophy;classical genetics;classical genetics;unspecified;S288C;;riboflavin;riboflavin;glucose;YNBD;;;riboflavin, isoleucine, leucine, threonine, valine, methionine, uracil, tryptophan, lysine, arginine, histidine, adenine;;5366000;Y;;Riboflavin, FMN and FAD metabolism;Metabolism of cofactors and vitamins
YDR487C;RIB3;Verified;auxotrophy;classical genetics;classical genetics;unspecified;S288C;;riboflavin;riboflavin;glucose;YNBD;;;riboflavin, isoleucine, leucine, threonine, valine, methionine, uracil, tryptophan, lysine, arginine, histidine, adenine;;5366000;Y;;Riboflavin, FMN and FAD metabolism;Metabolism of cofactors and vitamins
YOL143C;RIB4;Verified;auxotrophy;classical genetics;classical genetics;unspecified;S288C;;riboflavin;riboflavin;glucose;YNBD;;;riboflavin, isoleucine, leucine, threonine, valine, methionine, uracil, tryptophan, lysine, arginine, histidine, adenine;;5366000;Y;;Riboflavin, FMN and FAD metabolism;Metabolism of cofactors and vitamins
YBR256C;RIB5;Verified;auxotrophy;classical genetics;classical genetics;unspecified;S288C;;riboflavin;riboflavin;glucose;YNBD;;;riboflavin, isoleucine, leucine, threonine, valine, methionine, uracil, tryptophan, lysine, arginine, histidine, adenine;Details: leaky ;5366000;Y;;Riboflavin, FMN and FAD metabolism;Metabolism of cofactors and vitamins
YCL018W;LEU2;Verified;auxotrophy;classical genetics;classical genetics;unspecified;Other;;leucine;leucine;glucose;YPD;;;;;6243628;Y;Strain backgr auxotrophy;Valine, leucine and isoleucine metabolism;Amino acid metabolism
YKL184W;SPE1;Verified;auxotrophy;classical genetics;classical genetics;null;S288C;BY4742;0.1 mM beta-alanine;beta-alanine;glucose;YNBD;YOR202W, YCL018W, YEL021W, YBR115C;pantothenate;adenine, uracil, methionine, arginine, histidine, tyrosine, lysine, leucine, isoleucine, phenylalanine, valine, aspartate, threonine, glutamate, serine;Condition: media lacking polyamines ;11154694;Y;;Polyamines metabolism;Metabolism of cofactors and vitamins
YKL184W;SPE1;Verified;auxotrophy;classical genetics;classical genetics;null;S288C;BY4742;0.1 mM pantothenic acid;pantothenate;glucose;YNBD;YOR202W, YCL018W, YEL021W, YBR115C;;adenine, uracil, methionine, arginine, histidine, tyrosine, lysine, leucine, isoleucine, phenylalanine, valine, aspartate, threonine, glutamate, serine;Condition: media lacking polyamines ;11154694;Y;;Polyamines metabolism;Metabolism of cofactors and vitamins
YKL184W;SPE1;Verified;auxotrophy;classical genetics;classical genetics;null;S288C;BY4742;0.25 mM putrescine;putrescine;glucose;YNBD;YOR202W, YCL018W, YEL021W, YBR115C;pantothenate;adenine, uracil, methionine, arginine, histidine, tyrosine, lysine, leucine, isoleucine, phenylalanine, valine, aspartate, threonine, glutamate, serine;Condition: media lacking polyamines ;11154694;Y;;Polyamines metabolism;Metabolism of cofactors and vitamins
YKL184W;SPE1;Verified;auxotrophy;classical genetics;classical genetics;null;S288C;BY4742;10 uM spermidine;spermidine;glucose;YNBD;YOR202W, YCL018W, YEL021W, YBR115C;pantothenate;adenine, uracil, methionine, arginine, histidine, tyrosine, lysine, leucine, isoleucine, phenylalanine, valine, aspartate, threonine, glutamate, serine;Condition: media lacking polyamines ;11154694;Y;;Polyamines metabolism;Metabolism of cofactors and vitamins
YKL184W;SPE1;Verified;auxotrophy;classical genetics;classical genetics;null;S288C;BY4742;0.25 mM spermine;spermine;glucose;YNBD;YOR202W, YCL018W, YEL021W, YBR115C;pantothenate;adenine, uracil, methionine, arginine, histidine, tyrosine, lysine, leucine, isoleucine, phenylalanine, valine, aspartate, threonine, glutamate, serine;Condition: media lacking polyamines ;11154694;Y;;Polyamines metabolism;Metabolism of cofactors and vitamins
YOL052C;SPE2;Verified;auxotrophy;classical genetics;classical genetics;null;S288C;BY4742;0.1 mM beta-alanine;beta-alanine;glucose;YNBD;YOR202W, YCL018W, YEL021W, YBR115C;pantothenate;adenine, uracil, methionine, arginine, histidine, tyrosine, lysine, leucine, isoleucine, phenylalanine, valine, aspartate, threonine, glutamate, serine;Condition: media lacking polyamines ;11154694;Y;;Polyamines metabolism;Metabolism of cofactors and vitamins
